histidine-AccQ; Formula; C16H15N5O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; Tgt RT;2.54; minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; RT tolerance;0.2; minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; m/z tolerance;15; ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; Abundance metric; EicCoreArea; (20.0 % threshold);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;;;; Ion Abundance;;;;;;;;;;;;;;;;;; Corrected Abundance Percentages;;;;;;;;;;;;;;;;;; Summary Statistics;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;;;;m+0;m+1;m+2;m+3;m+4;m+5;m+6;m+7;m+8;m+9;m+10;m+11;m+12;m+13;m+14;m+15;m+16;Abund;m+0;m+1;m+2;m+3;m+4;m+5;m+6;m+7;m+8;m+9;m+10;m+11;m+12;m+13;m+14;m+15;m+16;Abund;%; %; % Fractional;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;SampleGroups; Cpd. Group; File Name; RT;326.12477;327.12812;328.13148;329.13483;330.13819;331.14154;332.14489;333.14825;334.1516;335.15496;336.15831;337.16167;338.16502;339.16838;340.17173;341.17509;342.17844;Sum;326.12477;327.12812;328.13148;329.13483;330.13819;331.14154;332.14489;333.14825;334.1516;335.15496;336.15831;337.16167;338.16502;339.16838;340.17173;341.17509;342.17844;Sum; Unlabeled; Labeled; Labeling;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;004_blank_50% MeOH.d;2.548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;NaN; NaN;0;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;007_QC_2 uL.d;2.481;1940694;470054;70089;9886;0;0;0;0;0;0;0;0;0;0;0;0;0;2490723;94.98;4.59;0.31;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;100;94.98;5.02;0.35;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;011_extraction blank.d;2.469;19474;4059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23533;99.07;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;99.07;0.93;0.06;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;013_1 uM std mix.d;2.472;470757;93522;15626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;579906;98.8;0.42;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.8;1.2;0.12;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;014_10 uM std mix.d;2.466;2715611;676940;105769;14249;3383;0;2378;0;0;0;0;0;0;0;0;0;0;3518330;94.08;5.22;0.46;0.09;0.07;0;0.08;0;0;0;0;0;0;0;0;0;0;100;94.08;5.92;0.45;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;015_100 uM std mix.d;2.464;13025450;2606833;424929;56149;10982;2951;10508;3116494;724437;109577;21777;5156;0;14370;0;0;0;20129617;76.74;0.44;0.58;0.05;0.03;0;0;19.51;2.25;0.2;0.07;0.02;0;0.1;0;0;0;100;76.74;23.26;10.03;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;018_A1.d;2.476;1681122;372595;60760;9036;0;0;0;0;0;0;0;0;0;0;0;0;0;2123513;96.53;2.65;0.69;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.53;3.47;0.28;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;019_A2.d;2.467;689799;140833;25469;3410;0;0;0;0;0;0;0;0;0;0;0;0;0;859510;97.89;0.95;1.1;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.89;2.11;0.21;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;1;020_A3.d;2.461;1296470;261272;41869;9264;0;0;0;0;4756;0;0;0;0;0;0;0;0;1613631;97.89;0.7;0.68;0.34;0;0;0;0;0.38;0;0;0;0;0;0;0;0;100;97.89;2.11;0.39;;;;;;;;;;;;;;;;;;;;
