Integrated;lactate_224;lactate_225;lactate_226;lactate_227;pyruvate_357;pyruvate_358;pyruvate_359;pyruvate_360;fumarate_385;fumarate_386;fumarate_387;fumarate_388;fumarate_389;succinate_387;succinate_388;succinate_389;succinate_390;succinate_391;malate_403;malate_404;malate_405;malate_406;malate_407;isocitrate_443;isocitrate_444;isocitrate_445;isocitrate_446;isocitrate_447;isocitrate_448;isocitrate_449;citrate_443;citrate_444;citrate_445;citrate_446;citrate_447;citrate_448;citrate_449;oxaloacetate_536;oxaloacetate_537;oxaloacetate_538;oxaloacetate_539;oxaloacetate_540;2-oxoglutarate_550;2-oxoglutarate_551;2-oxoglutarate_552;2-oxoglutarate_553;2-oxoglutarate_554;2-oxoglutarate_555;cis-aconitate_578;cis-aconitate_579;cis-aconitate_580;cis-aconitate_581;cis-aconitate_582;cis-aconitate_583;cis-aconitate_584;glycerate_240;glycerate_241;glycerate_242;glycerate_243;glycolate_210;glycolate_211;glycolate_212;2-hydroxyglutarate_417;2-hydroxyglutarate_418;2-hydroxyglutarate_419;2-hydroxyglutarate_420;2-hydroxyglutarate_421;2-hydroxyglutarate_422;oxalate_359;oxalate_360;oxalate_361;itaconate_399;itaconate_400;itaconate_401;itaconate_402;itaconate_403;itaconate_404
;Time: 3.8 to 4.2 Mass: 224.0579 to 224.0779;Time: 3.8 to 4.2 Mass: 225.0579 to 225.0779;Time: 3.8 to 4.2 Mass: 226.0579 to 226.0779;Time: 3.8 to 4.2 Mass: 227.0579 to 227.0779;Time: 7.85 to 8.1 Mass: 357.0852 to 357.1052;Time: 7.85 to 8.1 Mass: 358.0852 to 358.1052;Time: 7.85 to 8.1 Mass: 359.0852 to 359.1052;Time: 7.85 to 8.1 Mass: 360.0852 to 360.1052;Time: 6.25 to 6.6 Mass: 385.0798 to 385.0998;Time: 6.25 to 6.6 Mass: 386.0798 to 386.0998;Time: 6.25 to 6.6 Mass: 387.0798 to 387.0998;Time: 6.25 to 6.6 Mass: 388.0798 to 388.0998;Time: 6.25 to 6.6 Mass: 389.0798 to 389.0998;Time: 5.8 to 6.05 Mass: 387.0955 to 387.1155;Time: 5.8 to 6.05 Mass: 388.0955 to 388.1155;Time: 5.8 to 6.05 Mass: 389.0955 to 389.1155;Time: 5.8 to 6.05 Mass: 390.0955 to 390.1155;Time: 5.8 to 6.05 Mass: 391.0955 to 391.1155;Time: 5.5 to 5.8 Mass: 403.0908 to 403.1108;Time: 5.5 to 5.8 Mass: 404.0908 to 404.1108;Time: 5.5 to 5.8 Mass: 405.0908 to 405.1108;Time: 5.5 to 5.8 Mass: 406.0908 to 406.1108;Time: 5.5 to 5.8 Mass: 407.0908 to 407.1108;Time: 5.75 to 5.95 Mass: 443.0852 to 443.1052;Time: 5.75 to 5.95 Mass: 444.0852 to 444.1052;Time: 5.75 to 5.95 Mass: 445.0852 to 445.1052;Time: 5.75 to 5.95 Mass: 446.0852 to 446.1052;Time: 5.75 to 5.95 Mass: 447.0852 to 447.1052;Time: 5.75 to 5.95 Mass: 448.0852 to 448.1052;Time: 5.75 to 5.95 Mass: 449.0852 to 449.1052;Time: 6.17 to 6.4 Mass: 443.0852 to 443.1052;Time: 6.17 to 6.4 Mass: 444.0852 to 444.1052;Time: 6.17 to 6.4 Mass: 445.0852 to 445.1052;Time: 6.17 to 6.4 Mass: 446.0852 to 446.1052;Time: 6.17 to 6.4 Mass: 447.0852 to 447.1052;Time: 6.17 to 6.4 Mass: 448.0852 to 448.1052;Time: 6.17 to 6.4 Mass: 449.0852 to 449.1052;Time: 8.2 to 8.35 Mass: 536.1179 to 536.1379;Time: 8.2 to 8.35 Mass: 537.1179 to 537.1379;Time: 8.2 to 8.35 Mass: 538.1179 to 538.1379;Time: 8.2 to 8.35 Mass: 539.1179 to 539.1379;Time: 8.2 to 8.35 Mass: 540.1179 to 540.1379;Time: 8.3 to 8.6 Mass: 550.1338 to 550.1538;Time: 8.3 to 8.6 Mass: 551.1338 to 551.1538;Time: 8.3 to 8.6 Mass: 552.1338 to 552.1538;Time: 8.3 to 8.6 Mass: 553.1338 to 553.1538;Time: 8.3 to 8.6 Mass: 554.1338 to 554.1538;Time: 8.3 to 8.6 Mass: 555.1338 to 555.1538;Time: 7.27 to 7.45 Mass: 578.1291 to 578.1491;Time: 7.27 to 7.45 Mass: 579.1291 to 579.1491;Time: 7.27 to 7.45 Mass: 580.1291 to 580.1491;Time: 7.27 to 7.45 Mass: 581.1291 to 581.1491;Time: 7.27 to 7.45 Mass: 582.1291 to 582.1491;Time: 7.27 to 7.45 Mass: 583.1291 to 583.1491;Time: 7.27 to 7.45 Mass: 584.1291 to 584.1491;Time: 3.07 to 3.22 Mass: 240.0532 to 240.0732;Time: 3.07 to 3.22 Mass: 241.0532 to 241.0732;Time: 3.07 to 3.22 Mass: 242.0532 to 242.0732;Time: 3.07 to 3.22 Mass: 243.0532 to 243.0732;Time: 3.4 to 3.62 Mass: 210.0427 to 210.0627;Time: 3.4 to 3.62 Mass: 211.0427 to 211.0627;Time: 3.4 to 3.62 Mass: 212.0427 to 212.0627;Time: 5.67 to 5.85 Mass: 417.1073 to 417.1273;Time: 5.67 to 5.85 Mass: 418.1073 to 418.1273;Time: 5.67 to 5.85 Mass: 419.1073 to 419.1273;Time: 5.67 to 5.85 Mass: 420.1073 to 420.1273;Time: 5.67 to 5.85 Mass: 421.1073 to 421.1273;Time: 5.67 to 5.85 Mass: 422.1073 to 422.1273;Time: 6.45 to 6.75 Mass: 359.0646 to 359.0846;Time: 6.45 to 6.75 Mass: 360.0646 to 360.0846;Time: 6.45 to 6.75 Mass: 361.0646 to 361.0846;Time: 6.07 to 6.22 Mass: 399.0959 to 399.1159;Time: 6.07 to 6.22 Mass: 400.0959 to 400.1159;Time: 6.07 to 6.22 Mass: 401.0959 to 401.1159;Time: 6.07 to 6.22 Mass: 402.0959 to 402.1159;Time: 6.07 to 6.22 Mass: 403.0959 to 403.1159;Time: 6.07 to 6.22 Mass: 404.0959 to 404.1159
010_blank_50% MeOH.cdf;1584.6;5157.0;1321.1;363.3;521.1;0.0;0.0;0.0;614.9;0.0;3282.9;0.0;0.0;489.4;403.9;443.3;0.0;445.1;17535.7;1155.2;1663.7;1096.8;416.7;1004.1;463.5;652.5;933.9;424.9;0.0;0.0;6661.6;914.5;1306.1;1011.7;1615.3;0.0;0.0;691.2;1010.0;0.0;2051.4;0.0;124042.6;40466.7;6158.2;0.0;0.0;588.5;0.0;894.6;852.0;0.0;483.6;0.0;0.0;1141.8;1424.1;891.9;1270.6;399.1;2616.9;871.2;0.0;0.0;1403.7;546.6;505.6;0.0;5661.6;1711.0;998.3;0.0;765.0;1034.3;429.4;919.3;0.0
011_extraction blank.cdf;7477285.2;633308.0;60820.6;0.0;280499.1;55011.1;8252.6;553.9;13743.1;1017.6;1294.9;0.0;0.0;269325.0;48376.7;9898.5;1089.6;932.0;265317.5;50498.9;5896.5;1192.7;0.0;1774.2;605.7;1193.5;784.4;0.0;1010.6;2202.6;44196.7;8187.9;216118.0;5148.5;8929.4;0.0;0.0;3618.2;589.2;0.0;0.0;865.7;172724.1;56614.2;7113.6;538.1;2055.0;1258.9;0.0;0.0;437.1;0.0;1520.3;0.0;1533.4;12872.8;2952.8;324.2;1075.4;126038.4;16468.1;1983.1;6347.7;1158.9;2510.8;1400.6;456.1;684.7;174973.2;36370.1;6558.9;1078.3;0.0;7558.7;476.4;10012.6;1051.2
013_1 uM std mix.cdf;6043207.6;498873.9;32291.6;0.0;2617813.1;454052.2;68813.7;9907.7;3272493.0;597490.0;104453.5;5859.0;0.0;3424268.3;631350.4;99721.9;8557.3;927.8;3358710.1;612560.7;109127.3;2769.6;0.0;1283828.0;252878.7;55186.9;4728.7;0.0;17321.9;9583.2;546031.8;112897.9;374167.0;8640.0;12106.8;0.0;0.0;443231.5;122016.3;23813.3;2516.6;596.0;5385486.3;1432709.3;274113.3;49396.2;3295.6;1144.9;316603.7;93705.2;21930.0;3027.4;535.7;410.1;677.2;647388.8;62352.2;9189.6;1873.6;1522127.0;141154.8;21712.7;1362092.1;268359.3;49992.8;6662.1;0.0;0.0;611200.0;111138.3;21216.2;2333008.3;474464.9;79414.5;11704.1;16894.7;3534.7
014_10 uM std mix.cdf;16302302.3;1337624.2;137413.5;0.0;23024695.8;3698846.0;496721.0;51727.1;27148776.9;4796822.2;685827.4;71093.3;0.0;23174728.2;4063105.6;583218.6;72550.4;536.4;37716311.4;6538871.8;962667.6;118447.7;897.2;9022755.5;1675807.1;280421.8;32873.7;7123.0;17661.9;4341.2;3641209.1;850640.5;388421.2;32518.5;3436.5;0.0;0.0;3453050.8;947554.9;173353.5;27002.7;2013.7;55532499.0;13927144.6;2360050.1;379689.8;20289.5;1317.6;2919266.2;861140.6;170942.7;33671.3;3863.0;452.5;1336.9;6075429.9;543448.4;78399.3;3368.7;14076566.0;1145423.2;154497.7;13967174.2;2510238.9;406858.1;52862.6;1467.3;0.0;5822546.8;927577.9;132408.7;14040148.2;2509250.8;396896.9;48191.1;61612.9;8529.4
015_50 uM std mix.cdf;53790527.9;5171847.4;516580.0;9094.3;80277529.6;12955643.1;1567084.1;151900.1;84799612.9;14156401.7;1877012.1;210161.6;0.0;94006377.4;16445951.1;2124296.6;258773.3;564.0;103051461.3;19297306.4;2821421.5;346344.8;0.0;21625697.2;4208655.4;639651.3;84087.4;0.0;3475.7;0.0;20123229.0;3863232.4;838115.5;101535.0;1160.3;0.0;0.0;15841811.0;4054374.4;749503.9;114436.2;8874.9;165171584.5;44731554.5;7877007.9;1141037.2;60447.6;1567.2;19426245.5;5378525.2;1101106.3;175092.2;17585.7;0.0;0.0;23189045.3;2227326.6;294597.1;17014.2;55648777.8;4868079.6;559744.1;60410469.3;11135523.3;1580411.1;210139.1;0.0;513.7;25756671.3;4059093.8;582925.3;79682227.6;14391898.5;1907790.6;239909.7;187396.3;20962.2
016_100 uM std mix.cdf;84783682.1;8670315.0;843445.5;18415.9;109493082.0;19144061.8;2161550.7;228013.1;136657017.9;23099430.9;3055950.5;339983.9;0.0;131838930.6;25336648.8;3374965.5;376210.4;0.0;138088892.2;27983778.7;3990743.2;492108.2;1084.3;37757253.2;7684099.6;1059057.6;140271.2;1306.1;0.0;0.0;37441970.2;7295103.0;1390357.1;175410.3;3057.5;0.0;0.0;31924559.8;7946595.3;1349700.2;215727.1;3831.1;215923163.1;61350382.9;11184021.7;1619278.0;82399.4;1461.2;38809317.6;10319237.8;1811819.2;278018.5;9844.4;583.1;0.0;45577795.7;4313917.0;525827.8;41867.3;89203779.2;8383674.8;951872.0;80911874.9;14885092.0;2137693.8;254746.2;0.0;0.0;53611174.9;7773331.4;1123698.1;103580760.1;19687290.4;2560872.6;311616.9;149515.0;17020.1
018_O1.cdf;11443995.8;934583.0;104900.6;0.0;5266938.5;798014.8;111214.0;9217.2;8483047.8;1497172.9;218298.4;17205.7;0.0;18218153.7;3055554.8;473564.5;59777.7;1957.9;293740912.4;79391044.7;11442856.8;1315763.4;999.5;1660140.3;332300.4;61846.9;7136.3;5944.6;3449.1;5013.9;78539164.5;15314444.4;2436540.0;341282.9;16865.6;0.0;0.0;66636.5;14685.9;1682.3;2880.8;0.0;350577021.1;103844152.2;18770117.8;2630310.8;161420.9;2483.7;104099.2;24216.6;15471.2;435.4;560.6;0.0;0.0;4145132.2;362892.7;53034.5;3155.4;405094.9;37527.8;2956.6;929954.7;173612.7;14136.0;0.0;0.0;0.0;139632605.6;24019585.2;3227771.5;38086.9;4352.3;1772.0;0.0;1378728.8;306922.9
019_O2.cdf;10168059.4;834685.1;76103.7;0.0;4623860.3;717530.5;98047.2;9539.8;9380471.3;1661822.9;254296.6;23824.9;0.0;26614162.9;4664497.0;677146.7;70188.8;793.9;260423096.6;67498301.5;9894869.3;1132116.3;0.0;1852939.3;380161.9;77209.4;6707.9;1096.7;4522.5;5313.3;80707432.5;15619051.3;2661943.2;341225.2;13182.3;0.0;0.0;61601.6;11168.9;1953.0;3779.4;1076.9;261650841.6;76842203.2;13826378.5;1929820.6;78810.0;1361.7;114466.5;32737.2;7611.4;0.0;612.3;1895.9;1344.9;2543211.7;245501.9;39308.9;1312.9;405810.9;42647.8;4031.5;542246.4;119258.2;9882.6;0.0;0.0;0.0;65580686.3;10476686.3;1332678.8;42437.5;5005.9;1203.2;1048.1;1063539.4;184749.5
020_O3.cdf;5389670.6;404480.4;44629.8;0.0;3986423.5;610534.0;77182.9;4835.3;8284362.0;1441723.3;223523.8;17997.4;0.0;21519375.8;3683209.2;544232.2;69044.7;442.5;283715331.1;75955908.0;10932275.4;1276115.1;0.0;1587029.1;337869.0;60368.2;9376.3;5070.1;5538.5;2263.4;74245535.1;14404704.9;2325653.5;292495.4;14435.8;0.0;0.0;87445.8;16539.4;1826.3;2495.8;686.4;336381299.9;98915703.9;17949986.0;2498405.6;154034.0;0.0;73016.2;17056.1;4141.0;0.0;1201.3;2745.6;1330.1;3287523.5;291806.7;51231.2;3253.5;705201.8;62593.5;9718.9;743621.3;133737.8;11217.9;0.0;0.0;0.0;107590404.3;17154807.6;2135745.4;35716.9;4140.0;572.5;497.4;1245920.8;252699.1
