"metabolite";"derivative";"isotopologue";"sample";"area"
"1";"Lactate";"NPH";0;"018_O1.cdf";0
"2";"Lactate";"NPH";1;"018_O1.cdf";0
"3";"Lactate";"NPH";2;"018_O1.cdf";0
"4";"Lactate";"NPH";3;"018_O1.cdf";0
"5";"Pyruvate";"2NPH";0;"018_O1.cdf";331671.190176322
"6";"Pyruvate";"2NPH";1;"018_O1.cdf";50252.8211586902
"7";"Pyruvate";"2NPH";2;"018_O1.cdf";7003.40050377834
"8";"Pyruvate";"2NPH";3;"018_O1.cdf";580.428211586902
"9";"Fumarate";"2NPH";0;"018_O1.cdf";534196.964735516
"10";"Fumarate";"2NPH";1;"018_O1.cdf";94280.4093198992
"11";"Fumarate";"2NPH";2;"018_O1.cdf";13746.7506297229
"12";"Fumarate";"2NPH";3;"018_O1.cdf";1083.48236775819
"13";"Fumarate";"2NPH";4;"018_O1.cdf";0
"14";"Succinate";"2NPH";0;"018_O1.cdf";1147238.89798489
"15";"Succinate";"2NPH";1;"018_O1.cdf";192415.289672544
"16";"Succinate";"2NPH";2;"018_O1.cdf";29821.4420654912
"17";"Succinate";"2NPH";3;"018_O1.cdf";3764.33879093199
"18";"Succinate";"2NPH";4;"018_O1.cdf";0
"19";"Malate";"2NPH";0;"018_O1.cdf";18497538.5642317
"20";"Malate";"2NPH";1;"018_O1.cdf";4999436.06423174
"21";"Malate";"2NPH";2;"018_O1.cdf";720582.921914358
"22";"Malate";"2NPH";3;"018_O1.cdf";82856.637279597
"23";"Malate";"2NPH";4;"018_O1.cdf";0
"24";"Isocitrate";"2NPH";0;"018_O1.cdf";104542.840050378
"25";"Isocitrate";"2NPH";1;"018_O1.cdf";20925.717884131
"26";"Isocitrate";"2NPH";2;"018_O1.cdf";3894.64105793451
"27";"Isocitrate";"2NPH";3;"018_O1.cdf";449.389168765743
"28";"Isocitrate";"2NPH";4;"018_O1.cdf";374.345088161209
"29";"Isocitrate";"2NPH";5;"018_O1.cdf";217.197732997481
"30";"Isocitrate";"2NPH";6;"018_O1.cdf";0
"31";"Citrate";"2NPH";0;"018_O1.cdf";4945791.21536524
"32";"Citrate";"2NPH";1;"018_O1.cdf";964385.667506297
"33";"Citrate";"2NPH";2;"018_O1.cdf";153434.508816121
"34";"Citrate";"2NPH";3;"018_O1.cdf";21491.3664987406
"35";"Citrate";"2NPH";4;"018_O1.cdf";0
"36";"Citrate";"2NPH";5;"018_O1.cdf";0
"37";"Citrate";"2NPH";6;"018_O1.cdf";0
"38";"Oxaloacetate";"2NPH";0;"018_O1.cdf";4196.25314861461
"39";"Oxaloacetate";"2NPH";1;"018_O1.cdf";924.804785894206
"40";"Oxaloacetate";"2NPH";2;"018_O1.cdf";105.938287153652
"41";"Oxaloacetate";"2NPH";3;"018_O1.cdf";0
"42";"Oxaloacetate";"2NPH";4;"018_O1.cdf";0
"43";"Oxoglutarate";"3NPH";0;"018_O1.cdf";22076638.6083123
"44";"Oxoglutarate";"3NPH";1;"018_O1.cdf";6539304.29471033
"45";"Oxoglutarate";"3NPH";2;"018_O1.cdf";1181997.34256927
"46";"Oxoglutarate";"3NPH";3;"018_O1.cdf";165636.700251889
"47";"Oxoglutarate";"3NPH";4;"018_O1.cdf";10165.0440806045
"48";"Oxoglutarate";"3NPH";5;"018_O1.cdf";0
"49";"Aconitate";"3NPH";0;"018_O1.cdf";6555.36523929471
"50";"Aconitate";"3NPH";1;"018_O1.cdf";1524.97481108312
"51";"Aconitate";"3NPH";2;"018_O1.cdf";974.256926952141
"52";"Aconitate";"3NPH";3;"018_O1.cdf";27.4181360201511
"53";"Aconitate";"3NPH";4;"018_O1.cdf";0
"54";"Aconitate";"3NPH";5;"018_O1.cdf";0
"55";"Aconitate";"3NPH";6;"018_O1.cdf";0
"56";"Glycerate";"NPH";0;"018_O1.cdf";261028.476070529
"57";"Glycerate";"NPH";1;"018_O1.cdf";22852.185138539
"58";"Glycerate";"NPH";2;"018_O1.cdf";3339.7040302267
"59";"Glycerate";"NPH";3;"018_O1.cdf";0
"60";"Glycolate";"NPH";0;"018_O1.cdf";25509.7544080605
"61";"Glycolate";"NPH";1;"018_O1.cdf";0
"62";"Glycolate";"NPH";2;"018_O1.cdf";0
"63";"Hydroxyglutarate";"2NPH";0;"018_O1.cdf";58561.379093199
"64";"Hydroxyglutarate";"2NPH";1;"018_O1.cdf";10932.7896725441
"65";"Hydroxyglutarate";"2NPH";2;"018_O1.cdf";890.176322418136
"66";"Hydroxyglutarate";"2NPH";3;"018_O1.cdf";0
"67";"Hydroxyglutarate";"2NPH";4;"018_O1.cdf";0
"68";"Hydroxyglutarate";"2NPH";5;"018_O1.cdf";0
"69";"Oxalate";"2NPH";0;"018_O1.cdf";8792985.23929471
"70";"Oxalate";"2NPH";1;"018_O1.cdf";1512568.33753149
"71";"Oxalate";"2NPH";2;"018_O1.cdf";203260.170025189
"72";"Itaconate";"2NPH";0;"018_O1.cdf";2398.41939546599
"73";"Itaconate";"2NPH";1;"018_O1.cdf";274.074307304786
"74";"Itaconate";"2NPH";2;"018_O1.cdf";0
"75";"Itaconate";"2NPH";3;"018_O1.cdf";0
"76";"Itaconate";"2NPH";4;"018_O1.cdf";86821.7128463476
"77";"Itaconate";"2NPH";5;"018_O1.cdf";19327.6385390428
"78";"Lactate";"NPH";0;"019_O2.cdf";0
"79";"Lactate";"NPH";1;"019_O2.cdf";0
"80";"Lactate";"NPH";2;"019_O2.cdf";0
"81";"Lactate";"NPH";3;"019_O2.cdf";0
"82";"Pyruvate";"2NPH";0;"019_O2.cdf";293020.297845374
"83";"Pyruvate";"2NPH";1;"019_O2.cdf";45470.8808618504
"84";"Pyruvate";"2NPH";2;"019_O2.cdf";6213.38403041825
"85";"Pyruvate";"2NPH";3;"019_O2.cdf";604.550063371356
"86";"Fumarate";"2NPH";0;"019_O2.cdf";594453.187579214
"87";"Fumarate";"2NPH";1;"019_O2.cdf";105311.970849176
"88";"Fumarate";"2NPH";2;"019_O2.cdf";16115.1204055767
"89";"Fumarate";"2NPH";3;"019_O2.cdf";1509.81622306717
"90";"Fumarate";"2NPH";4;"019_O2.cdf";0
"91";"Succinate";"2NPH";0;"019_O2.cdf";1686575.59569075
"92";"Succinate";"2NPH";1;"019_O2.cdf";295595.500633714
"93";"Succinate";"2NPH";2;"019_O2.cdf";42911.7046894804
"94";"Succinate";"2NPH";3;"019_O2.cdf";4447.95944233207
"95";"Succinate";"2NPH";4;"019_O2.cdf";0
"96";"Malate";"2NPH";0;"019_O2.cdf";16503364.8035488
"97";"Malate";"2NPH";1;"019_O2.cdf";4277458.90367554
"98";"Malate";"2NPH";2;"019_O2.cdf";627051.28643853
"99";"Malate";"2NPH";3;"019_O2.cdf";71743.7452471483
"100";"Malate";"2NPH";4;"019_O2.cdf";0
"101";"Isocitrate";"2NPH";0;"019_O2.cdf";117423.276299113
"102";"Isocitrate";"2NPH";1;"019_O2.cdf";24091.3751584284
"103";"Isocitrate";"2NPH";2;"019_O2.cdf";4892.86438529784
"104";"Isocitrate";"2NPH";3;"019_O2.cdf";425.088719898606
"105";"Isocitrate";"2NPH";4;"019_O2.cdf";0
