2023-08-11 13:11:16 - root - INFO - ------------------------------------------------
2023-08-11 13:11:16 - root - INFO - Correction process
2023-08-11 13:11:16 - root - INFO - ------------------------------------------------
2023-08-11 13:11:16 - root - INFO -    data files
2023-08-11 13:11:16 - root - INFO -       data file: C:/Users/FTrevisan/Documents/GitHub/13C-Citrate CSIA (Umea)/20230711 3-NPH acids from in-house script_IsoCor.tsv
2023-08-11 13:11:16 - root - INFO -       derivatives database: C:\Users\FTrevisan\isocordb\Derivatives.dat
2023-08-11 13:11:16 - root - INFO -       metabolites database: C:\Users\FTrevisan\isocordb\Metabolites.dat
2023-08-11 13:11:16 - root - INFO -    correction parameters
2023-08-11 13:11:16 - root - INFO -       isotopic tracer: 13C
2023-08-11 13:11:16 - root - INFO -       correct natural abundance of the tracer element: 1
2023-08-11 13:11:16 - root - INFO -       isotopic purity of the tracer: [0.01, 0.99]
2023-08-11 13:11:16 - root - INFO -       mode: high-resolution
2023-08-11 13:11:16 - root - INFO -          formula code: constant
2023-08-11 13:11:16 - root - INFO -          instrument resolution: 30000.0
2023-08-11 13:11:16 - root - INFO -    natural abundance of isotopes
2023-08-11 13:11:16 - root - INFO -    {'C': {'mass': [Decimal('12.0'), Decimal('13.003354835')], 'abundance': [0.9893, 0.0107]}, 'H': {'mass': [Decimal('1.0078250322'), Decimal('2.0141017781')], 'abundance': [0.999885, 0.000115]}, 'N': {'mass': [Decimal('14.003074004'), Decimal('15.000108899')], 'abundance': [0.99636, 0.00364]}, 'O': {'mass': [Decimal('15.99491462'), Decimal('16.999131757'), Decimal('17.999159613')], 'abundance': [0.99757, 0.00038, 0.00205]}, 'P': {'mass': [Decimal('30.973761998')], 'abundance': [1.0]}, 'S': {'mass': [Decimal('31.972071174'), Decimal('32.971458910'), Decimal('33.9678670'), Decimal('35'), Decimal('35.967081')], 'abundance': [0.9499, 0.0075, 0.0425, 0.0, 0.0001]}, 'Si': {'mass': [Decimal('27.976926535'), Decimal('28.976494665'), Decimal('29.9737701')], 'abundance': [0.92223, 0.04685, 0.03092]}}
2023-08-11 13:11:16 - root - INFO -    IsoCor version: 2.2.1
2023-08-11 13:11:16 - root - INFO - ------------------------------------------------
2023-08-11 13:11:16 - root - INFO - Constructing correctors for all (metabolite, derivative)...
2023-08-11 13:11:16 - root - INFO - ------------------------------------------------
2023-08-11 13:11:16 - root - INFO - ('Lactate', 'NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Pyruvate', '2NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Fumarate', '2NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Succinate', '2NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Malate', '2NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Isocitrate', '2NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Citrate', '2NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Oxaloacetate', '2NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Oxoglutarate', '3NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Aconitate', '3NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Glycerate', 'NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Glycolate', 'NPH') successfully constructed.
2023-08-11 13:11:16 - root - INFO - ('Hydroxyglutarate', '2NPH') successfully constructed.
