metabolite	derivative	isotopologue	sample	area
Lactate	NPH	0	018_O1.cdf	0
Lactate	NPH	1	018_O1.cdf	0
Lactate	NPH	2	018_O1.cdf	0
Lactate	NPH	3	018_O1.cdf	0
Pyruvate	2NPH	0	018_O1.cdf	331671.190176322
Pyruvate	2NPH	1	018_O1.cdf	50252.8211586902
Pyruvate	2NPH	2	018_O1.cdf	7003.40050377834
Pyruvate	2NPH	3	018_O1.cdf	580.428211586902
Fumarate	2NPH	0	018_O1.cdf	534196.964735516
Fumarate	2NPH	1	018_O1.cdf	94280.4093198992
Fumarate	2NPH	2	018_O1.cdf	13746.7506297229
Fumarate	2NPH	3	018_O1.cdf	1083.48236775819
Fumarate	2NPH	4	018_O1.cdf	0
Succinate	2NPH	0	018_O1.cdf	1147238.89798489
Succinate	2NPH	1	018_O1.cdf	192415.289672544
Succinate	2NPH	2	018_O1.cdf	29821.4420654912
Succinate	2NPH	3	018_O1.cdf	3764.33879093199
Succinate	2NPH	4	018_O1.cdf	0
Malate	2NPH	0	018_O1.cdf	18497538.5642317
Malate	2NPH	1	018_O1.cdf	4999436.06423174
Malate	2NPH	2	018_O1.cdf	720582.921914358
Malate	2NPH	3	018_O1.cdf	82856.637279597
Malate	2NPH	4	018_O1.cdf	0
Isocitrate	2NPH	0	018_O1.cdf	104542.840050378
Isocitrate	2NPH	1	018_O1.cdf	20925.717884131
Isocitrate	2NPH	2	018_O1.cdf	3894.64105793451
Isocitrate	2NPH	3	018_O1.cdf	449.389168765743
Isocitrate	2NPH	4	018_O1.cdf	374.345088161209
Isocitrate	2NPH	5	018_O1.cdf	217.197732997481
Isocitrate	2NPH	6	018_O1.cdf	0
Citrate	2NPH	0	018_O1.cdf	4945791.21536524
Citrate	2NPH	1	018_O1.cdf	964385.667506297
Citrate	2NPH	2	018_O1.cdf	153434.508816121
Citrate	2NPH	3	018_O1.cdf	21491.3664987406
Citrate	2NPH	4	018_O1.cdf	0
Citrate	2NPH	5	018_O1.cdf	0
Citrate	2NPH	6	018_O1.cdf	0
Oxaloacetate	2NPH	0	018_O1.cdf	4196.25314861461
Oxaloacetate	2NPH	1	018_O1.cdf	924.804785894206
Oxaloacetate	2NPH	2	018_O1.cdf	105.938287153652
Oxaloacetate	2NPH	3	018_O1.cdf	0
Oxaloacetate	2NPH	4	018_O1.cdf	0
Oxoglutarate	3NPH	0	018_O1.cdf	22076638.6083123
Oxoglutarate	3NPH	1	018_O1.cdf	6539304.29471033
Oxoglutarate	3NPH	2	018_O1.cdf	1181997.34256927
Oxoglutarate	3NPH	3	018_O1.cdf	165636.700251889
Oxoglutarate	3NPH	4	018_O1.cdf	10165.0440806045
Oxoglutarate	3NPH	5	018_O1.cdf	0
Aconitate	3NPH	0	018_O1.cdf	6555.36523929471
Aconitate	3NPH	1	018_O1.cdf	1524.97481108312
Aconitate	3NPH	2	018_O1.cdf	974.256926952141
Aconitate	3NPH	3	018_O1.cdf	27.4181360201511
Aconitate	3NPH	4	018_O1.cdf	0
Aconitate	3NPH	5	018_O1.cdf	0
Aconitate	3NPH	6	018_O1.cdf	0
Glycerate	NPH	0	018_O1.cdf	261028.476070529
Glycerate	NPH	1	018_O1.cdf	22852.185138539
Glycerate	NPH	2	018_O1.cdf	3339.7040302267
Glycerate	NPH	3	018_O1.cdf	0
Glycolate	NPH	0	018_O1.cdf	25509.7544080605
Glycolate	NPH	1	018_O1.cdf	0
Glycolate	NPH	2	018_O1.cdf	0
Hydroxyglutarate	2NPH	0	018_O1.cdf	58561.379093199
Hydroxyglutarate	2NPH	1	018_O1.cdf	10932.7896725441
Hydroxyglutarate	2NPH	2	018_O1.cdf	890.176322418136
Hydroxyglutarate	2NPH	3	018_O1.cdf	0
Hydroxyglutarate	2NPH	4	018_O1.cdf	0
Hydroxyglutarate	2NPH	5	018_O1.cdf	0
Oxalate	2NPH	0	018_O1.cdf	8792985.23929471
Oxalate	2NPH	1	018_O1.cdf	1512568.33753149
Oxalate	2NPH	2	018_O1.cdf	203260.170025189
Itaconate	2NPH	0	018_O1.cdf	2398.41939546599
Itaconate	2NPH	1	018_O1.cdf	274.074307304786
Itaconate	2NPH	2	018_O1.cdf	0
Itaconate	2NPH	3	018_O1.cdf	0
Itaconate	2NPH	4	018_O1.cdf	86821.7128463476
Itaconate	2NPH	5	018_O1.cdf	19327.6385390428
Lactate	NPH	0	019_O2.cdf	0
Lactate	NPH	1	019_O2.cdf	0
Lactate	NPH	2	019_O2.cdf	0
Lactate	NPH	3	019_O2.cdf	0
Pyruvate	2NPH	0	019_O2.cdf	293020.297845374
Pyruvate	2NPH	1	019_O2.cdf	45470.8808618504
Pyruvate	2NPH	2	019_O2.cdf	6213.38403041825
Pyruvate	2NPH	3	019_O2.cdf	604.550063371356
Fumarate	2NPH	0	019_O2.cdf	594453.187579214
Fumarate	2NPH	1	019_O2.cdf	105311.970849176
Fumarate	2NPH	2	019_O2.cdf	16115.1204055767
Fumarate	2NPH	3	019_O2.cdf	1509.81622306717
Fumarate	2NPH	4	019_O2.cdf	0
Succinate	2NPH	0	019_O2.cdf	1686575.59569075
Succinate	2NPH	1	019_O2.cdf	295595.500633714
Succinate	2NPH	2	019_O2.cdf	42911.7046894804
Succinate	2NPH	3	019_O2.cdf	4447.95944233207
Succinate	2NPH	4	019_O2.cdf	0
Malate	2NPH	0	019_O2.cdf	16503364.8035488
Malate	2NPH	1	019_O2.cdf	4277458.90367554
Malate	2NPH	2	019_O2.cdf	627051.28643853
Malate	2NPH	3	019_O2.cdf	71743.7452471483
Malate	2NPH	4	019_O2.cdf	0
Isocitrate	2NPH	0	019_O2.cdf	117423.276299113
Isocitrate	2NPH	1	019_O2.cdf	24091.3751584284
Isocitrate	2NPH	2	019_O2.cdf	4892.86438529784
Isocitrate	2NPH	3	019_O2.cdf	425.088719898606
Isocitrate	2NPH	4	019_O2.cdf	0
Isocitrate	2NPH	5	019_O2.cdf	286.596958174905
Isocitrate	2NPH	6	019_O2.cdf	0
Citrate	2NPH	0	019_O2.cdf	5114539.4486692
Citrate	2NPH	1	019_O2.cdf	989800.4626109
Citrate	2NPH	2	019_O2.cdf	168690.950570342
Citrate	2NPH	3	019_O2.cdf	21623.9036755387
Citrate	2NPH	4	019_O2.cdf	0
Citrate	2NPH	5	019_O2.cdf	0
Citrate	2NPH	6	019_O2.cdf	0
Oxaloacetate	2NPH	0	019_O2.cdf	3903.77693282636
Oxaloacetate	2NPH	1	019_O2.cdf	707.788339670469
Oxaloacetate	2NPH	2	019_O2.cdf	123.764258555133
Oxaloacetate	2NPH	3	019_O2.cdf	0
Oxaloacetate	2NPH	4	019_O2.cdf	0
Oxoglutarate	3NPH	0	019_O2.cdf	16581168.6692015
Oxoglutarate	3NPH	1	019_O2.cdf	4869594.626109
