sample;metabolite;derivative;isotopologue;isotopic_inchi;area;corrected_area;isotopologue_fraction;residuum;mean_enrichment
010_blank_50% MeOH.cdf;Lactate;NPH;0;/a(C3+0);1585;1728;0.2041639041665960000;5.40E-14;0.3205117142780070000
010_blank_50% MeOH.cdf;Lactate;NPH;1;/a(C1+1),(C2+0);5157;5587;0.6602600492570270000;-4.53E-15;0.3205117142780070000
010_blank_50% MeOH.cdf;Lactate;NPH;2;/a(C2+1),(C1+0);1321;892;0.1054530461521320000;2.95E-14;0.3205117142780070000
010_blank_50% MeOH.cdf;Lactate;NPH;3;/a(C3+1);363;255;0.0301230004242433000;-3.54E-14;0.3205117142780070000
011_extraction blank.cdf;Lactate;NPH;0;/a(C3+0);7477285;8394257;1.0000000000000000000;0.002707047;0.0000000000000000000
011_extraction blank.cdf;Lactate;NPH;1;/a(C1+1),(C2+0);633308;0;0.0000000000000000000;-0.023745099;0.0000000000000000000
011_extraction blank.cdf;Lactate;NPH;2;/a(C2+1),(C1+0);60821;0;0.0000000000000000000;-0.005138997;0.0000000000000000000
011_extraction blank.cdf;Lactate;NPH;3;/a(C3+1);0;0;0.0000000000000000000;-0.000981765;0.0000000000000000000
013_1 uM std mix.cdf;Lactate;NPH;0;/a(C3+0);6043208;6782453;1.0000000000000000000;0.002970519;0.0000000000000000000
013_1 uM std mix.cdf;Lactate;NPH;1;/a(C1+1),(C2+0);498874;0;0.0000000000000000000;-0.025797974;0.0000000000000000000
013_1 uM std mix.cdf;Lactate;NPH;2;/a(C2+1),(C1+0);32292;0;0.0000000000000000000;-0.007723988;0.0000000000000000000
013_1 uM std mix.cdf;Lactate;NPH;3;/a(C3+1);0;0;0.0000000000000000000;-0.00098595;0.0000000000000000000
014_10 uM std mix.cdf;Lactate;NPH;0;/a(C3+0);16302302;18296274;1.0000000000000000000;0.002975183;0.0000000000000000000
014_10 uM std mix.cdf;Lactate;NPH;1;/a(C1+1),(C2+0);1337624;0;0.0000000000000000000;-0.026193955;0.0000000000000000000
014_10 uM std mix.cdf;Lactate;NPH;2;/a(C2+1),(C1+0);137414;0;0.0000000000000000000;-0.004875904;0.0000000000000000000
014_10 uM std mix.cdf;Lactate;NPH;3;/a(C3+1);0;0;0.0000000000000000000;-0.0009836;0.0000000000000000000
015_50 uM std mix.cdf;Lactate;NPH;0;/a(C3+0);53790528;60464327;1.0000000000000000000;0.001521939;0.0000000000000000000
015_50 uM std mix.cdf;Lactate;NPH;1;/a(C1+1),(C2+0);5171847;0;0.0000000000000000000;-0.013238361;0.0000000000000000000
015_50 uM std mix.cdf;Lactate;NPH;2;/a(C2+1),(C1+0);516580;0;0.0000000000000000000;-0.003765319;0.0000000000000000000
015_50 uM std mix.cdf;Lactate;NPH;3;/a(C3+1);9094;0;0.0000000000000000000;-0.00081851;0.0000000000000000000
016_100 uM std mix.cdf;Lactate;NPH;0;/a(C3+0);84783682;95367253;1.0000000000000000000;0.000906172;0.0000000000000000000
016_100 uM std mix.cdf;Lactate;NPH;1;/a(C1+1),(C2+0);8670315;0;0.0000000000000000000;-0.007730338;0.0000000000000000000
016_100 uM std mix.cdf;Lactate;NPH;2;/a(C2+1),(C1+0);843446;0;0.0000000000000000000;-0.003441835;0.0000000000000000000
016_100 uM std mix.cdf;Lactate;NPH;3;/a(C3+1);18416;0;0.0000000000000000000;-0.000771098;0.0000000000000000000
018_O1.cdf;Lactate;NPH;0;/a(C3+0);11443996;12843322;1.0000000000000000000;0.003003746;0.0000000000000000000
018_O1.cdf;Lactate;NPH;1;/a(C1+1),(C2+0);934583;0;0.0000000000000000000;-0.026535584;0.0000000000000000000
