sample	metabolite	derivative	isotopologue	isotopic_inchi	area	corrected_area	isotopologue_fraction	residuum	mean_enrichment
018_O1.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
018_O1.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
018_O1.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
018_O1.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
019_O2.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
019_O2.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
019_O2.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
019_O2.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
020_O3.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
020_O3.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
020_O3.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
020_O3.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
021_O4.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
021_O4.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
021_O4.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
021_O4.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
022_O5.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
022_O5.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
022_O5.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
022_O5.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
023_O6.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
023_O6.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
023_O6.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
023_O6.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
024_O7.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
024_O7.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
024_O7.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
024_O7.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
025_O8.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
025_O8.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
025_O8.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
025_O8.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
026_O9.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
026_O9.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
026_O9.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
026_O9.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
027_O10.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
027_O10.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
027_O10.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
027_O10.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
029_O11.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
029_O11.cdf	Lactate	NPH	1	/a(C1+1),(C2+0)	0.0	0.0			
029_O11.cdf	Lactate	NPH	2	/a(C2+1),(C1+0)	0.0	0.0			
029_O11.cdf	Lactate	NPH	3	/a(C3+1)	0.0	0.0			
030_O12.cdf	Lactate	NPH	0	/a(C3+0)	0.0	0.0			
