"013_1 uM std mix.cdf";"014_10 uM std mix.cdf";"015_100 uM std mix.cdf";"018_A1.cdf";"019_A2.cdf";"020_A3.cdf";"021_A4.cdf";"022_A5.cdf";"023_A6.cdf";"024_A7.cdf";"025_A8.cdf";"026_A9.cdf";"027_A10.cdf";"028_QC_1.cdf";"029_A11.cdf";"030_A12.cdf";"031_A13.cdf";"032_A14.cdf";"033_A15.cdf";"034_A17.cdf";"035_A18.cdf";"036_A19.cdf";"037_A20.cdf";"038_QC_2.cdf";"039_A21.cdf";"040_A22.cdf";"041_A23.cdf";"042_A24.cdf";"043_A25.cdf";"044_A26.cdf";"045_A27.cdf";"046_A28.cdf";"047_A29.cdf";"048_A30.cdf";"049_QC_3.cdf";"050_A31.cdf";"051_A32.cdf";"052_A33.cdf";"053_A34.cdf";"054_A35.cdf";"055_A36.cdf";"056_A37.cdf";"057_A38.cdf";"058_A39.cdf";"059_A40.cdf";"060_QC_4.cdf";"061_A41.cdf";"062_A42.cdf";"063_A43.cdf";"064_A44.cdf";"065_A45.cdf";"066_A46.cdf";"067_A47.cdf";"068_A48.cdf";"069_A49.cdf";"070_A50.cdf";"071_QC_5.cdf";"072_A51.cdf";"073_A52.cdf";"074_A53.cdf";"075_A54.cdf";"076_A55.cdf";"077_A56.cdf";"078_A57.cdf";"079_A58.cdf";"080_A59.cdf";"081_A60.cdf";"082_QC_6.cdf";"083_A61.cdf";"084_A62.cdf";"085_A63.cdf";"086_A64.cdf";"087_A65.cdf";"088_A66.cdf";"089_A67.cdf";"090_A68.cdf";"091_A69.cdf";"092_A70.cdf";"093_QC_7.cdf";"094_A71.cdf";"095_A72.cdf";"096_A73.cdf";"097_A74.cdf";"098_A75.cdf";"099_A76.cdf";"100_A77.cdf";"101_A78.cdf";"102_A79.cdf";"103_A80.cdf";"104_QC_8.cdf";"105_A81.cdf";"106_A82.cdf";"107_A83.cdf";"108_A84.cdf";"109_A85.cdf";"110_A86.cdf";"111_A87.cdf";"112_A88.cdf";"113_A89.cdf";"114_A90.cdf";"115_QC_8.cdf";"116_A91.cdf";"117_A92.cdf";"118_A93.cdf";"119_A94.cdf";"120_A95.cdf";"121_A96.cdf";"122_A97.cdf";"123_A98.cdf";"124_A99.cdf";"125_A100.cdf";"126_QC_9.cdf";"127_A101.cdf";"128_A102.cdf";"129_A103.cdf";"130_A104.cdf";"131_A105.cdf";"132_A106.cdf";"133_A107.cdf";"134_A108.cdf";"135_A109.cdf";"136_QC_10.cdf";"137_A110.cdf";"138_A111.cdf";"139_A112.cdf";"140_A113.cdf";"141_A114.cdf";"142_A115.cdf";"143_A116.cdf";"144_A117.cdf";"145_A118.cdf";"146_QC_11.cdf";"147_A119.cdf";"148_A120.cdf";"metabolite";"derivative";"isotopologue";"resolution"
"1";"4743515.3";"23283874.5";"33444738.9";"22416530.8";"11412026.3";"12691115.4";"10193851.8";"43863307.1";"19178405.3";"10710744.1";"10671531.7";"8798680.6";"26714465.3";"9019423.6";"5202355.7";"1498608.2";"8671314.2";"8849510.4";"10133738.1";"8481414.6";"7412534.1";"5253695.0";"9959411.9";"9036065.6";"17044325.4";"15658787.0";"9745045.5";"9485393.6";"12550556.6";"12163160.8";"12951756.4";"10508103.5";"12317982.8";"12133825.3";"9049776.4";"9760028.0";"13909628.8";"12582712.2";"23444886.1";"24443146.7";"7945100.9";"10448173.5";"9111406.2";"10592906.1";"25063187.9";"9059715.8";"6614842.8";"8365772.3";"8649617.6";"8779337.0";"2203393.4";"5999913.4";"7542635.2";"5335699.4";"7585749.6";"12599645.0";"8884152.2";"15535228.8";"9289561.2";"11275262.3";"14929765.8";"13493034.7";"10809656.4";"12324177.6";"8487555.1";"13944123.1";"9906042.2";"8961643.0";"6088518.9";"20212796.1";"7295877.4";"17234290.4";"6856145.8";"11642392.0";"7353543.7";"11684563.5";"8724848.2";"10060944.0";"8914608.2";"9903074.4";"10389233.3";"8985402.1";"6256787.6";"7949887.9";"5682396.9";"6923816.1";"5959102.7";"8027568.9";"9102704.5";"9003252.9";"9957178.4";"11251944.3";"8925158.7";"9327487.0";"10339286.8";"15603503.9";"14066484.7";"12229244.8";"12833783.0";"10757772.2";"8958312.7";"27802268.0";"7546766.5";"9817768.5";"12593248.1";"22140529.7";"7219738.2";"12029693.5";"6477141.0";"8925373.6";"7913966.9";"9152121.2";"5372420.0";"4499492.1";"6069791.8";"6053930.3";"5089326.1";"7260194.5";"5006873.7";"3706692.8";"2419780.8";"9118091.1";"3478586.8";"10482138.8";"10634519.4";"7693207.0";"13270647.4";"11114446.9";"12168096.5";"10229495.5";"2507223.4";"9250914.8";"9671613.3";"9891220.2";"Ala_260";0;0;0
"2";"955586.7";"3990478.3";"6480734.8";"3910423.1";"2028885.2";"2158214.7";"1804878.4";"10599918.9";"3154170.8";"1884782.2";"1911036.9";"1601479.6";"4897884.0";"1663878.1";"1003544.4";"297184.1";"1543847.6";"1571167.8";"1845430.2";"1559753.8";"1334970.7";"1032456.4";"1787056.6";"1665858.9";"2876984.7";"2565475.2";"1765482.9";"1735854.4";"2161041.2";"2101540.7";"2199674.4";"1861065.7";"2194308.9";"2144915.9";"1691297.6";"1746586.9";"2299299.4";"2151736.2";"4045913.8";"4160938.9";"1507591.6";"1943526.0";"1728165.1";"1879358.1";"4514393.5";"1717484.5";"1265778.0";"1508168.1";"1576885.4";"1646282.8";"420746.1";"1136692.7";"1454800.8";"1110815.8";"1473314.8";"2217280.5";"1700198.2";"2534090.3";"1678123.7";"1952443.3";"2471021.3";"2268676.1";"1913691.1";"2184238.4";"1638989.0";"2329967.6";"1792626.1";"1632771.7";"1172037.8";"3522829.7";"1313674.3";"2923841.1";"1289662.2";"2061947.0";"1442303.9";"2132063.3";"1721054.5";"1855653.1";"1632756.9";"1770341.9";"1856773.8";"1595634.1";"1219604.8";"1441532.1";"1097097.8";"1288580.5";"1143957.3";"1475862.1";"1766441.1";"1642348.1";"1789310.6";"1951260.2";"1564305.6";"1657482.5";"1865521.3";"2734829.4";"2489905.5";"2125142.8";"2312804.9";"2034921.8";"1652087.8";"5099922.2";"1401932.8";"1761899.2";"2149009.0";"3894271.0";"1356406.3";"2090561.2";"1213765.4";"1664233.2";"1471703.5";"1748859.8";"1048897.6";"916348.1";"1178267.4";"1162269.8";"1017805.0";"1407086.2";"1014842.8";"741065.3";"446059.9";"1657366.9";"661115.5";"1864202.6";"1861197.3";"1404458.6";"2255960.5";"1940787.9";"2191278.2";"1911870.4";"511364.1";"1700206.6";"1815895.4";"1856479.8";"Ala_261";0;0;0
"3";"109550.1";"537395.4";"902068.8";"518066.7";"248880.2";"248679.4";"218298.0";"1329852.5";"416881.2";"237737.4";"236579.1";"204086.9";"633135.9";"201279.1";"117780.8";"40325.1";"194326.6";"194249.8";"220825.8";"192435.8";"153928.1";"117329.8";"217243.8";"188145.5";"396336.6";"341249.7";"214813.7";"200252.1";"288986.3";"244477.9";"320992.5";"236237.7";"265600.4";"274758.1";"198465.1";"207098.8";"285816.9";"252742.6";"536725.7";"567052.3";"181176.6";"231307.7";"203864.2";"246771.1";"607536.3";"197746.0";"139800.2";"186853.0";"175122.7";"189460.5";"54795.3";"137664.1";"181262.6";"109775.1";"170687.7";"287520.1";"191140.0";"323433.7";"210660.6";"249428.9";"342560.7";"288821.8";"249560.2";"263096.5";"186148.6";"302720.4";"211444.0";"193907.9";"143212.2";"450860.7";"173877.3";"374911.1";"146777.7";"267854.5";"178248.9";"247647.6";"212567.9";"237559.2";"197483.5";"198919.0";"217058.6";"191477.2";"124136.6";"171137.8";"129978.0";"160375.3";"129755.7";"179519.2";"201402.7";"196242.0";"218494.1";"257355.5";"207242.3";"205489.2";"236206.1";"377524.0";"323010.9";"265008.1";"281162.0";"240050.2";"204709.0";"684406.1";"169691.9";"219724.9";"278646.9";"506003.3";"168901.7";"268393.3";"147429.4";"206449.8";"173409.5";"202125.2";"111067.6";"104748.1";"137926.3";"140667.3";"108505.9";"155252.3";"112027.1";"82281.5";"58195.8";"200840.5";"73925.0";"226818.6";"241660.5";"174471.0";"291437.9";"263566.7";"277959.3";"254287.9";"61034.7";"223571.1";"230800.6";"212335.2";"Ala_262";0;0;0
"4";"22269.6";"53920.3";"80788.1";"53148.9";"25005.1";"28309.7";"33416.7";"121310.3";"39889.9";"30130.3";"27417.4";"27390.6";"59288.5";"25505.1";"27534.3";"17301.1";"21917.8";"28463.6";"25591.1";"25196.8";"29550.3";"23967.5";"26790.9";"26915.4";"39052.0";"39614.0";"32680.3";"24252.4";"35923.2";"34410.6";"28411.8";"25320.5";"35476.6";"31659.1";"25664.9";"28495.1";"32481.9";"30130.4";"54271.8";"55302.6";"26692.2";"25484.3";"29199.5";"30211.3";"63638.5";"24430.1";"24301.8";"29288.8";"25788.7";"26037.7";"18519.4";"23606.5";"24065.0";"21332.5";"30126.8";"40647.6";"33128.3";"46273.4";"32594.2";"33191.6";"45098.8";"38260.7";"39079.1";"34678.4";"29586.5";"33736.8";"28192.7";"27685.4";"29068.9";"47563.2";"28723.5";"45227.8";"26039.2";"34256.6";"30005.6";"35813.9";"40952.2";"30170.9";"28392.6";"23080.6";"29458.7";"28777.1";"25653.9";"26305.1";"24612.2";"33494.4";"27195.0";"27055.1";"25507.3";"29642.6";"36035.1";"38988.5";"33102.7";"30572.6";"34211.4";"43328.1";"33220.2";"26060.4";"35813.3";"25450.3";"31783.7";"61966.0";"31080.2";"32889.8";"44276.0";"46856.0";"39072.4";"35634.9";"27067.2";"28445.3";"22130.0";"24606.0";"29594.1";"29843.8";"33305.7";"27492.9";"31339.2";"32314.6";"18759.3";"23457.9";"18203.5";"24159.4";"21341.0";"44531.3";"40920.9";"31922.6";"39190.4";"47257.0";"33425.4";"25449.8";"20329.7";"33284.8";"27966.2";"32510.1";"Ala_263";0;0;0
"5";"623625.0";"4098794.1";"12080321.6";"3000045.1";"2788593.1";"2964981.8";"1853478.4";"3160416.8";"5203171.8";"1764090.5";"2389552.2";"2271724.0";"3540633.2";"13394018.0";"612400.2";"160154.3";"696645.6";"1050980.9";"1287622.7";"912362.5";"1423467.1";"759638.8";"972057.0";"13532600.5";"25723711.9";"31667642.1";"15028931.0";"21951026.4";"21571553.7";"23490874.7";"23781873.8";"21560802.3";"21693918.7";"28306920.2";"13619552.6";"4014461.1";"1645418.3";"3578339.0";"4125964.8";"3663693.3";"1810737.3";"3899987.2";"1041152.4";"1909534.6";"2055218.9";"13590300.2";"792785.8";"1242005.3";"1179213.6";"1011826.8";"144101.4";"792179.9";"781257.3";"723449.4";"923967.6";"1316160.7";"13380213.8";"19357744.3";"21095570.1";"17549701.5";"27245853.8";"25572248.4";"26180575.2";"26404530.2";"16303087.9";"22943457.0";"19911897.5";"13312852.4";"941135.7";"1750369.9";"1471851.2";"2117849.3";"958749.2";"3614645.3";"1683095.0";"1480244.7";"2098385.7";"1158154.1";"13299066.5";"915543.6";"1123096.3";"969219.7";"696030.7";"1023301.8";"729110.0";"1118840.1";"830422.9";"1009368.5";"910977.1";"13545791.0";"19418991.7";"21719092.4";"19178730.8";"16189563.8";"14200979.3";"25182944.0";"29054045.8";"20156153.3";"25376539.8";"16539954.8";"13409319.8";"3243325.8";"974177.9";"2237671.9";"2401649.6";"3657664.4";"2010489.3";"1682968.8";"2637482.2";"1841289.2";"1169083.5";"13479050.6";"385436.5";"683014.8";"623781.1";"703853.4";"652708.4";"643416.9";"623911.8";"460210.8";"253169.0";"13863682.0";"420830.2";"13720067.7";"23876154.2";"12723196.1";"29033857.0";"22271248.8";"26827497.8";"26230501.6";"5548160.4";"14194619.9";"15612191.6";"15418573.7";"Arg_345";0;0;0
"6";"115834.8";"980316.8";"2289717.5";"675560.3";"631384.0";"689725.2";"423746.7";"736331.5";"1142059.8";"394721.7";"583115.4";"506016.4";"831483.3";"2577428.3";"114965.9";"30176.1";"131711.4";"214096.8";"274246.8";"174155.7";"312748.2";"152827.2";"186941.6";"2469305.1";"4832168.0";"6116630.1";"2782787.1";"4013315.4";"3810354.5";"4340323.6";"4239853.7";"3852852.3";"3874997.1";"5285047.6";"2537870.0";"934033.0";"367873.5";"837308.7";"955833.4";"853870.5";"401559.5";"920175.1";"221189.1";"456203.8";"483624.0";"2504441.0";"153986.6";"264043.2";"258466.4";"196959.5";"26425.1";"161540.9";"149896.6";"137444.9";"183943.1";"295486.0";"2459272.3";"3527511.9";"3856116.2";"3250642.3";"5012178.5";"4753832.4";"4894087.5";"4967143.8";"2988050.8";"4210624.9";"3600985.8";"2449840.5";"197137.4";"389780.9";"328061.1";"505462.1";"174774.2";"793394.7";"411667.9";"333922.1";"475766.4";"258301.9";"2511617.1";"177863.7";"243534.9";"201235.4";"129898.6";"214492.3";"144062.6";"239742.1";"168252.8";"189647.0";"177500.0";"2447149.1";"3525384.3";"4048131.8";"3467734.3";"2951232.2";"2592855.0";"4692878.7";"5503014.3";"3621133.8";"4713636.9";"2958908.5";"2500389.9";"749032.2";"210036.4";"530241.4";"545827.4";"853562.9";"464317.9";"373012.6";"618600.1";"411451.4";"257457.1";"2465798.7";"74417.2";"127093.9";"121081.0";"137503.5";"119083.6";"121966.2";"121543.5";"82621.6";"52735.8";"2549755.1";"83286.1";"2484244.0";"4337251.7";"2378195.4";"5455567.8";"4079052.4";"4990029.7";"4862747.1";"1217022.8";"2534387.7";"2836391.3";"2797662.9";"Arg_346";0;0;0
"7";"11280.8";"121531.0";"336655.3";"78407.6";"94771.0";"98847.8";"51850.7";"89183.6";"158922.7";"44280.6";"74680.6";"65463.5";"94842.7";"375226.5";"13380.9";"2254.3";"14219.7";"26163.5";"34782.2";"23173.4";"46418.1";"21992.2";"23271.3";"389524.3";"738088.7";"968921.9";"413590.7";"630245.5";"590398.8";"671316.1";"691616.2";"603988.3";"612573.2";"808282.3";"402876.1";"117915.5";"40425.4";"102479.0";"123430.9";"101854.6";"52214.2";"114616.6";"29275.8";"59216.9";"63972.8";"362641.8";"21301.8";"37899.8";"33675.7";"23747.5";"980.7";"20173.1";"20124.9";"21988.6";"25843.1";"40907.0";"368379.9";"512797.4";"585969.7";"496701.8";"774423.6";"733304.9";"734713.0";"822767.6";"454476.1";"641259.8";"557343.1";"374676.6";"24663.9";"52823.4";"33353.0";"70318.0";"20607.3";"107735.3";"52170.3";"38322.4";"54429.3";"35623.0";"381925.6";"20202.3";"29127.0";"24264.0";"13673.0";"22992.7";"15998.7";"30911.7";"14461.5";"31190.9";"22312.4";"394975.9";"531774.8";"605007.5";"507724.0";"458390.9";"388200.6";"718368.1";"867632.2";"579273.3";"718334.3";"467661.5";"390972.9";"96160.2";"25531.4";"60858.4";"69918.8";"105691.0";"62548.0";"52435.1";"81101.0";"55625.7";"33512.4";"383224.8";"1098.5";"19725.3";"14280.6";"13675.2";"15108.9";"16218.7";"16390.1";"14037.8";"2667.1";"384257.7";"13273.0";"393823.6";"680971.4";"350427.9";"876147.5";"633625.5";"796699.0";"765530.2";"159153.8";"395303.2";"436310.7";"427945.7";"Arg_347";0;0;0
"8";"0.0";"8308.5";"22768.7";"1471.8";"7463.5";"5701.2";"0.0";"8974.5";"8183.4";"3179.7";"5288.5";"1676.8";"4777.8";"29898.0";"892.6";"22824.2";"0.0";"0.0";"1174.4";"0.0";"3572.6";"0.0";"976.5";"31373.8";"71355.2";"98367.9";"43293.2";"57927.8";"62058.1";"65238.8";"65702.6";"53539.4";"52077.4";"83272.6";"33309.9";"7074.2";"0.0";"5047.2";"6845.6";"4424.9";"0.0";"11026.2";"1094.2";"4130.1";"3707.0";"39902.2";"0.0";"827.3";"873.3";"0.0";"1105.8";"0.0";"0.0";"0.0";"0.0";"2575.4";"30975.4";"53674.1";"55394.5";"48247.3";"72116.9";"74056.8";"73953.5";"75026.1";"43037.9";"68985.5";"46325.2";"34732.6";"4095.8";"0.0";"0.0";"855.4";"0.0";"8097.4";"1821.5";"1417.1";"2109.1";"1360.5";"29953.8";"0.0";"0.0";"0.0";"0.0";"1978.5";"0.0";"0.0";"851.3";"1925.0";"0.0";"35037.9";"52707.9";"53793.2";"52275.5";"43420.4";"37266.2";"68462.2";"97936.6";"50322.1";"82522.5";"40544.6";"35924.9";"8981.2";"909.3";"1000.8";"5594.4";"7502.6";"2336.5";"1118.2";"4838.1";"3510.4";"2117.8";"30799.8";"0.0";"0.0";"0.0";"0.0";"1552.4";"0.0";"0.0";"0.0";"0.0";"37414.5";"0.0";"36488.9";"57900.2";"26151.2";"83093.2";"58572.3";"82669.9";"76301.0";"13263.9";"38631.6";"40773.4";"42089.2";"Arg_348";0;0;0
"9";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"Arg_349";0;0;0
"10";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"Arg_350";0;0;0
