"metabolite";"derivative";"isotopologue";"sample";"area"
"1";"Alanine";"AccQ";0;"018_A1.cdf";1660483.76296296
"2";"Alanine";"AccQ";1;"018_A1.cdf";289660.97037037
"3";"Alanine";"AccQ";2;"018_A1.cdf";38375.3111111111
"4";"Alanine";"AccQ";3;"018_A1.cdf";3936.95555555556
"5";"Arginine";"AccQ";0;"018_A1.cdf";222225.562962963
"6";"Arginine";"AccQ";1;"018_A1.cdf";50041.5037037037
"7";"Arginine";"AccQ";2;"018_A1.cdf";5807.97037037037
"8";"Arginine";"AccQ";3;"018_A1.cdf";109.022222222222
"9";"Arginine";"AccQ";4;"018_A1.cdf";0
"10";"Arginine";"AccQ";5;"018_A1.cdf";0
"11";"Arginine";"AccQ";6;"018_A1.cdf";0
"12";"Asparagine";"AccQ";0;"018_A1.cdf";2668051.57777778
"13";"Asparagine";"AccQ";1;"018_A1.cdf";518306.111111111
"14";"Asparagine";"AccQ";2;"018_A1.cdf";85812.8148148148
"15";"Asparagine";"AccQ";3;"018_A1.cdf";11009.3703703704
"16";"Asparagine";"AccQ";4;"018_A1.cdf";391.414814814815
"17";"Aspartate";"AccQ";0;"018_A1.cdf";1016905.88148148
"18";"Aspartate";"AccQ";1;"018_A1.cdf";184861.807407407
"19";"Aspartate";"AccQ";2;"018_A1.cdf";30586.1555555556
"20";"Aspartate";"AccQ";3;"018_A1.cdf";4836.03703703704
"21";"Aspartate";"AccQ";4;"018_A1.cdf";0
"22";"Citrulline";"AccQ";0;"018_A1.cdf";73485.0518518519
"23";"Citrulline";"AccQ";1;"018_A1.cdf";16709.437037037
"24";"Citrulline";"AccQ";2;"018_A1.cdf";4585.16296296296
"25";"Citrulline";"AccQ";3;"018_A1.cdf";717.725925925926
"26";"Citrulline";"AccQ";4;"018_A1.cdf";0
"27";"Citrulline";"AccQ";5;"018_A1.cdf";0
"28";"Citrulline";"AccQ";6;"018_A1.cdf";0
"29";"Glutamine";"AccQ";0;"018_A1.cdf";3233407.71851852
"30";"Glutamine";"AccQ";1;"018_A1.cdf";789928.014814815
"31";"Glutamine";"AccQ";2;"018_A1.cdf";111334.748148148
"32";"Glutamine";"AccQ";3;"018_A1.cdf";15155.6962962963
"33";"Glutamine";"AccQ";4;"018_A1.cdf";804.792592592593
"34";"Glutamine";"AccQ";5;"018_A1.cdf";0
"35";"Glycine";"AccQ";0;"018_A1.cdf";314883.592592593
"36";"Glycine";"AccQ";1;"018_A1.cdf";55584.5333333333
"37";"Glycine";"AccQ";2;"018_A1.cdf";6407.02962962963
"38";"Histidine";"AccQ";0;"018_A1.cdf";124165.385185185
"39";"Histidine";"AccQ";1;"018_A1.cdf";24289.9777777778
"40";"Histidine";"AccQ";2;"018_A1.cdf";2759.45185185185
"41";"Histidine";"AccQ";3;"018_A1.cdf";0
"42";"Histidine";"AccQ";4;"018_A1.cdf";0
"43";"Histidine";"AccQ";5;"018_A1.cdf";0
"44";"Histidine";"AccQ";6;"018_A1.cdf";0
"45";"Isoleucine";"AccQ";0;"018_A1.cdf";5017145.01481482
"46";"Isoleucine";"AccQ";1;"018_A1.cdf";1286434.17777778
"47";"Isoleucine";"AccQ";2;"018_A1.cdf";178667.296296296
"48";"Isoleucine";"AccQ";3;"018_A1.cdf";21115
"49";"Isoleucine";"AccQ";4;"018_A1.cdf";376.37037037037
"50";"Isoleucine";"AccQ";5;"018_A1.cdf";0
"51";"Isoleucine";"AccQ";6;"018_A1.cdf";0
"52";"Leucine";"AccQ";0;"018_A1.cdf";3772943.40740741
"53";"Leucine";"AccQ";1;"018_A1.cdf";792239.133333333
"54";"Leucine";"AccQ";2;"018_A1.cdf";126319.488888889
"55";"Leucine";"AccQ";3;"018_A1.cdf";12949.5407407407
"56";"Leucine";"AccQ";4;"018_A1.cdf";0
"57";"Leucine";"AccQ";5;"018_A1.cdf";0
