2023-08-11 13:11:15 - root - INFO - ------------------------------------------------
2023-08-11 13:11:15 - root - INFO - Correction process
2023-08-11 13:11:15 - root - INFO - ------------------------------------------------
2023-08-11 13:11:15 - root - INFO -    data files
2023-08-11 13:11:15 - root - INFO -       data file: C:/Users/FTrevisan/Documents/GitHub/13C-Citrate CSIA (Umea)/20230714_AccQ-Tag_AA_peak areas_inhouse_script 2.0_IsoCor.tsv
2023-08-11 13:11:15 - root - INFO -       derivatives database: C:\Users\FTrevisan\isocordb\Derivatives.dat
2023-08-11 13:11:15 - root - INFO -       metabolites database: C:\Users\FTrevisan\isocordb\Metabolites.dat
2023-08-11 13:11:15 - root - INFO -    correction parameters
2023-08-11 13:11:15 - root - INFO -       isotopic tracer: 13C
2023-08-11 13:11:15 - root - INFO -       correct natural abundance of the tracer element: 1
2023-08-11 13:11:15 - root - INFO -       isotopic purity of the tracer: [0.01, 0.99]
2023-08-11 13:11:15 - root - INFO -       mode: high-resolution
2023-08-11 13:11:15 - root - INFO -          formula code: constant
2023-08-11 13:11:15 - root - INFO -          instrument resolution: 30000.0
2023-08-11 13:11:15 - root - INFO -    natural abundance of isotopes
2023-08-11 13:11:15 - root - INFO -    {'C': {'mass': [Decimal('12.0'), Decimal('13.003354835')], 'abundance': [0.9893, 0.0107]}, 'H': {'mass': [Decimal('1.0078250322'), Decimal('2.0141017781')], 'abundance': [0.999885, 0.000115]}, 'N': {'mass': [Decimal('14.003074004'), Decimal('15.000108899')], 'abundance': [0.99636, 0.00364]}, 'O': {'mass': [Decimal('15.99491462'), Decimal('16.999131757'), Decimal('17.999159613')], 'abundance': [0.99757, 0.00038, 0.00205]}, 'P': {'mass': [Decimal('30.973761998')], 'abundance': [1.0]}, 'S': {'mass': [Decimal('31.972071174'), Decimal('32.971458910'), Decimal('33.9678670'), Decimal('35'), Decimal('35.967081')], 'abundance': [0.9499, 0.0075, 0.0425, 0.0, 0.0001]}, 'Si': {'mass': [Decimal('27.976926535'), Decimal('28.976494665'), Decimal('29.9737701')], 'abundance': [0.92223, 0.04685, 0.03092]}}
2023-08-11 13:11:15 - root - INFO -    IsoCor version: 2.2.1
2023-08-11 13:11:15 - root - INFO - ------------------------------------------------
2023-08-11 13:11:15 - root - INFO - Constructing correctors for all (metabolite, derivative)...
2023-08-11 13:11:15 - root - INFO - ------------------------------------------------
2023-08-11 13:11:15 - root - INFO - ('Alanine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Arginine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Asparagine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Aspartate', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Citrulline', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Glutamine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Glycine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Histidine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Isoleucine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Leucine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Lysine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Methionine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Norvaline', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Phenylalanine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Proline', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Serine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Threonine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Tryptophan', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Tyrosine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Valine', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('GABA', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Glutamate', 'AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ('Ornithine', '2AccQ') successfully constructed.
2023-08-11 13:11:15 - root - INFO - ------------------------------------------------
2023-08-11 13:11:15 - root - INFO - Correcting raw MS data...
2023-08-11 13:11:15 - root - INFO - ------------------------------------------------
2023-08-11 13:11:15 - root - INFO - 018_A1.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 019_A2.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 020_A3.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 021_A4.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 022_A5.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 023_A6.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 024_A7.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 025_A8.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 026_A9.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 027_A10.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 029_A11.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 030_A12.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 031_A13.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 032_A14.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 033_A15.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 034_A17.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 035_A18.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 036_A19.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 037_A20.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 039_A21.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 040_A22.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 041_A23.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 042_A24.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 043_A25.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:15 - root - INFO - 044_A26.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 045_A27.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 046_A28.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 047_A29.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 048_A30.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 050_A31.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 051_A32.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 052_A33.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 053_A34.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 054_A35.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 055_A36.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 056_A37.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 057_A38.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 058_A39.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 059_A40.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 061_A41.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 062_A42.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 063_A43.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 064_A44.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 065_A45.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 066_A46.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 067_A47.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 068_A48.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 069_A49.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 070_A50.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 072_A51.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 073_A52.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 074_A53.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 075_A54.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 076_A55.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 077_A56.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 078_A57.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 079_A58.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 080_A59.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 081_A60.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 083_A61.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 084_A62.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 085_A63.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 086_A64.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 087_A65.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 088_A66.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 089_A67.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 090_A68.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 091_A69.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 092_A70.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 094_A71.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 095_A72.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 096_A73.cdf - ('Alanine', 'AccQ'): processed
2023-08-11 13:11:16 - root - INFO - 097_A74.cdf - ('Alanine', 'AccQ'): processed
