metabolite	derivative	isotopologue	sample	area
Alanine	AccQ	0	018_A1.cdf	1660483.76296296
Alanine	AccQ	1	018_A1.cdf	289660.97037037
Alanine	AccQ	2	018_A1.cdf	38375.3111111111
Alanine	AccQ	3	018_A1.cdf	3936.95555555556
Arginine	AccQ	0	018_A1.cdf	222225.562962963
Arginine	AccQ	1	018_A1.cdf	50041.5037037037
Arginine	AccQ	2	018_A1.cdf	5807.97037037037
Arginine	AccQ	3	018_A1.cdf	109.022222222222
Arginine	AccQ	4	018_A1.cdf	0
Arginine	AccQ	5	018_A1.cdf	0
Arginine	AccQ	6	018_A1.cdf	0
Asparagine	AccQ	0	018_A1.cdf	2668051.57777778
Asparagine	AccQ	1	018_A1.cdf	518306.111111111
Asparagine	AccQ	2	018_A1.cdf	85812.8148148148
Asparagine	AccQ	3	018_A1.cdf	11009.3703703704
Asparagine	AccQ	4	018_A1.cdf	391.414814814815
Aspartate	AccQ	0	018_A1.cdf	1016905.88148148
Aspartate	AccQ	1	018_A1.cdf	184861.807407407
Aspartate	AccQ	2	018_A1.cdf	30586.1555555556
Aspartate	AccQ	3	018_A1.cdf	4836.03703703704
Aspartate	AccQ	4	018_A1.cdf	0
Citrulline	AccQ	0	018_A1.cdf	73485.0518518519
Citrulline	AccQ	1	018_A1.cdf	16709.437037037
Citrulline	AccQ	2	018_A1.cdf	4585.16296296296
Citrulline	AccQ	3	018_A1.cdf	717.725925925926
Citrulline	AccQ	4	018_A1.cdf	0
Citrulline	AccQ	5	018_A1.cdf	0
Citrulline	AccQ	6	018_A1.cdf	0
Glutamine	AccQ	0	018_A1.cdf	3233407.71851852
Glutamine	AccQ	1	018_A1.cdf	789928.014814815
Glutamine	AccQ	2	018_A1.cdf	111334.748148148
Glutamine	AccQ	3	018_A1.cdf	15155.6962962963
Glutamine	AccQ	4	018_A1.cdf	804.792592592593
Glutamine	AccQ	5	018_A1.cdf	0
Glycine	AccQ	0	018_A1.cdf	314883.592592593
Glycine	AccQ	1	018_A1.cdf	55584.5333333333
Glycine	AccQ	2	018_A1.cdf	6407.02962962963
Histidine	AccQ	0	018_A1.cdf	124165.385185185
Histidine	AccQ	1	018_A1.cdf	24289.9777777778
Histidine	AccQ	2	018_A1.cdf	2759.45185185185
Histidine	AccQ	3	018_A1.cdf	0
Histidine	AccQ	4	018_A1.cdf	0
Histidine	AccQ	5	018_A1.cdf	0
Histidine	AccQ	6	018_A1.cdf	0
Isoleucine	AccQ	0	018_A1.cdf	5017145.01481482
Isoleucine	AccQ	1	018_A1.cdf	1286434.17777778
Isoleucine	AccQ	2	018_A1.cdf	178667.296296296
Isoleucine	AccQ	3	018_A1.cdf	21115
Isoleucine	AccQ	4	018_A1.cdf	376.37037037037
Isoleucine	AccQ	5	018_A1.cdf	0
Isoleucine	AccQ	6	018_A1.cdf	0
Leucine	AccQ	0	018_A1.cdf	3772943.40740741
Leucine	AccQ	1	018_A1.cdf	792239.133333333
Leucine	AccQ	2	018_A1.cdf	126319.488888889
Leucine	AccQ	3	018_A1.cdf	12949.5407407407
Leucine	AccQ	4	018_A1.cdf	0
Leucine	AccQ	5	018_A1.cdf	0
Leucine	AccQ	6	018_A1.cdf	0
Lysine	AccQ	0	018_A1.cdf	266563.674074074
Lysine	AccQ	1	018_A1.cdf	86292.6074074074
Lysine	AccQ	2	018_A1.cdf	13403.3851851852
Lysine	AccQ	3	018_A1.cdf	1787.77777777778
Lysine	AccQ	4	018_A1.cdf	0
