sample;metabolite;derivative;isotopologue;isotopic_inchi;area;corrected_area;isotopologue_fraction;residuum;mean_enrichment
013_1 uM std mix.cdf;Alanine;AccQ;0;/a(C3+0);4743515.3;5562274.002;0.952883595;-3.98E-06;0.017271297
013_1 uM std mix.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);955586.7;261322.5827;0.044767662;0.00011801;0.017271297
013_1 uM std mix.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);109550.1;0;0;-0.000825089;0.017271297
013_1 uM std mix.cdf;Alanine;AccQ;3;/a(C3+1);22269.6;13710.33384;0.002348743;2.49E-05;0.017271297
014_10 uM std mix.cdf;Alanine;AccQ;0;/a(C3+0);23283874.5;27310940.74;0.979930306;-1.34E-16;0.007880909
014_10 uM std mix.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);3990478.3;464061.4756;0.016650759;0;0.007880909
014_10 uM std mix.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);537395.4;90991.9839;0.003264838;2.09E-17;0.007880909
014_10 uM std mix.cdf;Alanine;AccQ;3;/a(C3+1);53920.3;4294.716581;0.000154097;2.58E-17;0.007880909
015_100 uM std mix.cdf;Alanine;AccQ;0;/a(C3+0);33444738.9;39220308.99;0.958441715;-5.03E-08;0.015127857
015_100 uM std mix.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);6480734.8;1544068.804;0.037733001;-4.91E-07;0.015127857
015_100 uM std mix.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);902068.8;156534.1235;0.003825284;1.97E-05;0.015127857
015_100 uM std mix.cdf;Alanine;AccQ;3;/a(C3+1);80788.1;0;0;-0.000148758;0.015127857
018_A1.cdf;Alanine;AccQ;0;/a(C3+0);22416530.8;26292771.45;0.97732632;0;0.008652095
018_A1.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);3910423.1;527414.8863;0.019604493;1.73E-17;0.008652095
018_A1.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);518066.7;76828.02569;0.002855768;1.08E-17;0.008652095
