"Compound","Time","Treatment","L","L_se","U","U_se","Enrichment","P_Value"
"Alanine","120min","P",0.0475653968,0.0039733030359264,0.03306496,0.00337545064973594,0.0145004368,0.00793650793650794
"Alanine","30min","C",0.0399239664,0.00194190818462,0.0274571638,0.00343258911855101,0.0124668026,0.0277777777777778
"Alanine","60min","Fe",0.0479935662,0.00304822194311781,0.0383013618,0.00307304652993083,0.0096922044,0.0476190476190476
"Arginine","60min","P",0.0070234356,0.000288185984996425,0.0060562358,0.000229139621266685,0.0009671998,0.0277777777777778
"Asparagine","15min","Fe",0.104397851,0.0595232316568458,0.0331097504,0.00303645588788931,0.0712881006,0.0317460317460317
"Asparagine","30min","C",0.0170523146,0.00548232667099507,0.0072334024,0.000614750374648816,0.0098189122,0.0277777777777778
"Aspartic acid","120min","Fe",0.037230294,0.00547099340136421,0.0122287524,0.00153250507250001,0.0250015416,0.00396825396825397
"Aspartic acid","30min","C",0.0228233086,0.00375292900213016,0.0132555996,0.00152179312173224,0.009567709,0.0158730158730159
"Aspartic acid","60min","C",0.025793585,0.00295255277740839,0.0145579838,0.00159588753405387,0.0112356012,0.00793650793650794
"Aspartic acid","60min","Fe",0.0182840298,0.00122218201628417,0.0131135126,0.00161730878888889,0.0051705172,0.0158730158730159
"GABA","120min","C",0.04722303,0.0028974382762483,0.0363122394,0.00215964902728005,0.0109107906,0.00793650793650794
"GABA","120min","Fe",0.0555150686,0.00347017833645296,0.0247929908,0.000588070984551049,0.0307220778,0.00396825396825397
"GABA","120min","P",0.0740524724,0.00477730032200475,0.0275265338,0.00102920835827326,0.0465259386,0.00396825396825397
"GABA","15min","C",0.0388430824,0.0028781663821376,0.0291912754,0.00298594117169508,0.009651807,0.0277777777777778
"GABA","15min","P",0.0473700476,0.00271641625940607,0.0308799052,0.00309105672382374,0.0164901424,0.00396825396825397
"GABA","30min","C",0.0601934632,0.00341898448802959,0.0308860522,0.003111075141815,0.029307411,0.00396825396825397
"GABA","30min","Fe",0.0697362066,0.00370441453593042,0.0408126622,0.00169445773974727,0.0289235444,0.00396825396825397
"GABA","30min","P",0.0695898728,0.00352466540482716,0.0330748534,0.00197359567658821,0.0365150194,0.00396825396825397
"GABA","60min","C",0.058505744,0.0042659236811113,0.0313506218,0.00107625116786196,0.0271551222,0.00396825396825397
"GABA","60min","Fe",0.063078513,0.000870599619489751,0.0326036398,0.00147250882334298,0.0304748732,0.00396825396825397
"GABA","60min","P",0.0769155272,0.00482568858468061,0.027391244,0.00228597169095652,0.0495242832,0.00396825396825397
"Glutamic acid","120min","C",0.0602204826,0.00608397141333833,0.0219395458,0.00341583881269706,0.0382809368,0.00396825396825397
"Glutamic acid","120min","Fe",0.061393997,0.00401357193170867,0.0256788162,0.00361696206206138,0.0357151808,0.00396825396825397
"Glutamic acid","120min","P",0.0690650196,0.00792898602265635,0.0245947554,0.00200310052053929,0.0444702642,0.00396825396825397
"Glutamic acid","15min","C",0.0454527602,0.00580682914449295,0.0200990884,0.00209467361383507,0.0253536718,0.00396825396825397
"Glutamic acid","15min","Fe",0.0452693115,0.0027237689462699,0.0245922538,0.00367177493194051,0.0206770577,0.00793650793650794
"Glutamic acid","15min","P",0.0518931966,0.00248464759313128,0.0244026004,0.00247227719077177,0.0274905962,0.00396825396825397
"Glutamic acid","30min","C",0.068738427,0.00524555815081482,0.0214881208,0.00231389681077743,0.0472503062,0.00396825396825397
"Glutamic acid","30min","Fe",0.060196145,0.00237850290228042,0.02086842,0.00239249936065373,0.039327725,0.00396825396825397
"Glutamic acid","30min","P",0.0575361028,0.00419406084443905,0.0268129072,0.000896992751288627,0.0307231956,0.00396825396825397
"Glutamic acid","60min","C",0.071936577,0.00395232262934803,0.0251043168,0.0030102602788631,0.0468322602,0.00396825396825397
"Glutamic acid","60min","Fe",0.0609415552,0.00449596084663786,0.0256153196,0.00211060855276192,0.0353262356,0.00396825396825397
