Compound;Sample order;Sample;Time;Treatment;Labeling;Relative_abundance;Unlabeled ;Labeled
Alanine;18;1;15min;C;U;22232800;0.971541826;0.028458174
Alanine;19;2;15min;C;U;11345700;0.963803296;0.036196704
Alanine;20;3;15min;C;U;12650740;0.978895119;0.021104881
Alanine;21;4;15min;C;U;10189510;0.968535371;0.03146463
Alanine;22;5;15min;C;U;53727500;0.957112963;0.042887037
Alanine;23;6;15min;C;L;19099180;0.979117708;0.020882292
Alanine;24;7;15min;C;L;10651700;0.961824871;0.038175129
Alanine;25;8;15min;C;L;10657540;0.959774156;0.040225844
Alanine;26;9;15min;C;L;8797732;0.957246804;0.042753196
Alanine;27;10;15min;C;L;26528900;0.963091274;0.036908727
Alanine;29;11;15min;Fe;U;5184222;0.946770014;0.053229986
Alanine;30;12;15min;Fe;U;1601886;0.945199259;0.054800741
Alanine;31;13;15min;Fe;U;8636705;0.960787468;0.039212532
Alanine;32;14;15min;Fe;U;8854756;0.962858021;0.037141979
Alanine;33;15;15min;Fe;U;10050810;0.961876022;0.038123979
Alanine;34;17;15min;Fe;L;8478224;0.954470979;0.045529021
Alanine;35;18;15min;Fe;L;7401701;0.961527007;0.038472993
Alanine;36;19;15min;Fe;L;5288130;0.945814925;0.054185075
Alanine;37;20;15min;Fe;L;9828672;0.965664136;0.034335864
Alanine;39;21;15min;P;U;17006830;0.976847374;0.023152626
Alanine;40;22;15min;P;U;15593410;0.981001229;0.018998771
Alanine;41;23;15min;P;U;9693481;0.962596594;0.037403406
Alanine;42;24;15min;P;U;9426238;0.962790205;0.037209795
Alanine;43;25;15min;P;U;12513220;0.965720292;0.034279708
Alanine;44;26;15min;P;L;12164370;0.971675042;0.028324958
Alanine;45;27;15min;P;L;12931390;0.974025904;0.025974096
Alanine;46;28;15min;P;L;10505210;0.9655583;0.0344417
Alanine;47;29;15min;P;L;12225620;0.967114844;0.032885156
Alanine;48;30;15min;P;L;12065820;0.97157215;0.02842785
Alanine;50;31;30min;C;U;9623746;0.95893343;0.04106657
Alanine;51;32;30min;C;U;13841370;0.975789036;0.024210964
Alanine;52;33;30min;C;U;12535750;0.974358645;0.025641355
Alanine;53;34;30min;C;U;23282530;0.977008168;0.022991832
Alanine;54;35;30min;C;U;24285530;0.976624902;0.023375098
Alanine;55;36;30min;C;L;7938322;0.95351021;0.04648979
Alanine;56;37;30min;C;L;10463430;0.961282236;0.038717764
Alanine;57;38;30min;C;L;9032132;0.958320836;0.041679164
Alanine;58;39;30min;C;L;10575150;0.962523456;0.037476544
Alanine;59;40;30min;C;L;24714160;0.96474343;0.03525657
Alanine;61;41;30min;Fe;U;6634877;0.955942084;0.044057916
Alanine;62;42;30min;Fe;U;8353335;0.957784553;0.042215447
Alanine;63;43;30min;Fe;U;8577902;0.965587413;0.034412587
Alanine;64;44;30min;Fe;U;8701569;0.959168785;0.040831215
Alanine;65;45;30min;Fe;U;2281085;0.949537237;0.050462763
Alanine;66;46;30min;Fe;L;5960042;0.948155346;0.051844655
Alanine;67;47;30min;Fe;L;7536692;0.954768612;0.045231388
Alanine;68;48;30min;Fe;L;5295818;0.935777432;0.064222568
Alanine;69;49;30min;Fe;L;7561513;0.954846472;0.045153528
Alanine;70;50;30min;Fe;L;12439910;0.961442371;0.038557629
Alanine;72;51;30min;P;U;15318450;0.975456911;0.02454309
Alanine;73;52;30min;P;U;9247596;0.957813568;0.042186432
Alanine;74;53;30min;P;U;11123660;0.966133695;0.033866306
Alanine;75;54;30min;P;U;14743690;0.976852131;0.02314787
Alanine;76;55;30min;P;U;13266160;0.971856483;0.028143517
Alanine;77;56;30min;P;L;10730930;0.962722933;0.037277067
Alanine;78;57;30min;P;L;12254000;0.971281908;0.028718093
Alanine;79;58;30min;P;L;8456340;0.951597955;0.048402045
Alanine;80;59;30min;P;L;13857550;0.975059643;0.024940357
Alanine;81;60;30min;P;L;9831136;0.962862532;0.037137468
Alanine;83;61;60min;C;U;6117705;0.954694245;0.045305755
Alanine;84;62;60min;C;U;20028090;0.973663053;0.026336947
Alanine;85;63;60min;C;U;7332652;0.961686558;0.038313442
Alanine;86;64;60min;C;U;17065330;0.979135906;0.020864094
Alanine;87;65;60min;C;U;6866430;0.959227152;0.040772849
Alanine;88;66;60min;C;L;11577220;0.964680483;0.035319517
Alanine;89;67;60min;C;L;7316455;0.948597273;0.051402727
Alanine;90;68;60min;C;L;11647720;0.965522372;0.034477628
Alanine;91;69;60min;C;L;8650400;0.946848819;0.053151182
Alanine;92;70;60min;C;L;10037860;0.960851986;0.039148014
Alanine;94;71;60min;Fe;U;9805052;0.968874698;0.031125303
Alanine;95;72;60min;Fe;U;10237250;0.961054402;0.038945598
Alanine;96;73;60min;Fe;U;8962911;0.967743491;0.032256509
Alanine;97;74;60min;Fe;U;6193334;0.952144201;0.047855799
Alanine;98;75;60min;Fe;U;7914684;0.9586764;0.0413236
Alanine;99;76;60min;Fe;L;5675420;0.948741624;0.051258376
Alanine;100;77;60min;Fe;L;6949178;0.960281233;0.039718767
Alanine;101;78;60min;Fe;L;5905887;0.942248061;0.057751939
Alanine;102;79;60min;Fe;L;7918221;0.954698779;0.045301221
Alanine;103;80;60min;Fe;L;9035926;0.954062473;0.045937528
Alanine;105;81;60min;P;U;9925755;0.959443625;0.040556375
Alanine;106;82;60min;P;U;11235750;0.970206282;0.029793718
Alanine;107;83;60min;P;U;8852262;0.96289252;0.037107481
Alanine;108;84;60min;P;U;9335316;0.968548326;0.031451674
Alanine;109;85;60min;P;U;10301550;0.96458045;0.03541955
Alanine;110;86;60min;P;L;15578780;0.96877448;0.03122552
Alanine;111;87;60min;P;L;13994480;0.965916591;0.034083409
Alanine;112;88;60min;P;L;12071730;0.966682006;0.033317994
Alanine;113;89;60min;P;L;12683160;0.963550978;0.036449022
Alanine;114;90;60min;P;L;10665630;0.958858928;0.041141073
Alanine;116;91;120min;C;U;27356620;0.967078262;0.032921738
Alanine;117;92;120min;C;U;7553659;0.95400817;0.04599183
Alanine;118;93;120min;C;U;9739804;0.965438706;0.034561294
Alanine;119;94;120min;C;U;12523030;0.974898149;0.025101851
Alanine;120;95;120min;C;U;21822590;0.971528602;0.028471398
Alanine;121;96;120min;C;L;7190730;0.955743852;0.044256148
Alanine;122;97;120min;C;L;11964220;0.972612181;0.027387819
Alanine;123;98;120min;C;L;6431449;0.952191676;0.047808324
Alanine;124;99;120min;C;L;8931359;0.955890891;0.044109109
Alanine;125;100;120min;C;L;7823036;0.958859192;0.041140808
Alanine;127;101;120min;Fe;U;5365338;0.94398959;0.05601041
Alanine;128;102;120min;Fe;U;4548998;0.944083171;0.055916829
Alanine;129;103;120min;Fe;U;6017375;0.950453832;0.049546168
Alanine;130;104;120min;Fe;U;6145535;0.956183889;0.043816111
Alanine;131;105;120min;Fe;U;5117167;0.94580421;0.054195791
Alanine;132;106;120min;Fe;L;7206307;0.946412807;0.053587193
Alanine;133;107;120min;Fe;L;5011473;0.947678937;0.052321063
Alanine;134;108;120min;Fe;L;3679555;0.943616852;0.056383148
Alanine;135;109;120min;Fe;L;2475602;0.944169961;0.055830039
Alanine;137;110;120min;Fe;L;3462662;0.944856573;0.055143427
Alanine;138;111;120min;P;U;10414880;0.966521527;0.033478474
Alanine;139;112;120min;P;U;10547050;0.966800959;0.033199042
Alanine;140;113;120min;P;U;7631203;0.956481124;0.043518876
Alanine;141;114;120min;P;U;13173080;0.977815544;0.022184456
Alanine;142;115;120min;P;U;10939570;0.967056048;0.032943952
Alanine;143;116;120min;P;L;11949580;0.961911892;0.038088108
Alanine;144;117;120min;P;L;10124720;0.952874366;0.047125634
Alanine;145;118;120min;P;L;2607035;0.937798611;0.062201389
Alanine;147;119;120min;P;L;9672550;0.955232182;0.044767818
Alanine;148;120;120min;P;L;9792866;0.954355965;0.045644035
Arginine;18;1;15min;C;U;3084256;0.955115086;0.044884914
Arginine;19;2;15min;C;U;2816619;0.952038635;0.047961365
Arginine;20;3;15min;C;U;3058074;0.958188229;0.041811771
Arginine;21;4;15min;C;U;1906150;0.95512989;0.044870111
Arginine;22;5;15min;C;U;3226073;0.949375146;0.050624854
Arginine;23;6;15min;C;L;5171292;0.963120331;0.036879669
Arginine;24;7;15min;C;L;1799930;0.960861968;0.039138032
Arginine;25;8;15min;C;L;2388457;0.946050764;0.053949236
Arginine;26;9;15min;C;L;2277589;0.956515629;0.043484371
Arginine;27;10;15min;C;L;3618531;0.95282175;0.04717825
Arginine;29;11;15min;Fe;U;669252;0.977453692;0.022546308
