Sample;FW
A1;13.5
A2;13.61
A3;14.51
A4;16.69
A5;15.64
A6;15.56
A7;16.56
A8;14.33
A9;17.12
A10;15.94
A11;14.2
A12;14.49
A13;15.84
A14;14.82
A15;16.22
A17;15.35
A18;16.13
A19;15.58
A20;15.62
A21;15.59
A22;14.92
A23;15.15
A24;14.4
A25;16.01
A26;15.46
A27;14.96
A28;16.37
A29;13.66
A30;16.34
A31;15.57
A32;15.35
A33;15.41
A34;15.38
A35;16.29
A36;15.71
A37;14.84
A38;15.28
A39;15.34
A40;16.35
A41;16.39
A42;16.64
A43;17.11
A44;16.94
A45;14.76
A46;14.23
A47;14.07
A48;14.81
A49;15.34
A50;15.04
A51;16.55
A52;13.74
A53;16.91
A54;15.1
A55;15.39
A56;14.86
A57;14.7
A58;15.44
A59;14.7
A60;12.9
A61;14.32
A62;15.72
A63;16.28
A64;16.01
A65;16.76
A66;14.3
A67;16.08
A68;14.53
A69;14.4
A70;14.74
A71;15.21
A72;13.27
A73;17.01
A74;16.34
A75;14.06
A76;15.34
A77;14.57
A78;13.09
A79;15.7
A80;15.75
A81;14.29
A82;15.31
A83;15.36
A84;15.23
A85;13.81
A86;12.97
A87;15.58
A88;13.29
A89;16
A90;13.38
A91;15.69
A92;15.04
A93;16.25
A94;14.16
A95;14.2
A96;16.59
A97;16.15
A98;16.92
A99;17.1
A100;15.35
A101;14.94
A102;16.36
A103;14.35
A104;15.19
A105;16.14
A106;14.26
A107;13.94
A108;16.01
A109;14.77
A110;17.54
A111;14.35
A112;15.24
A113;13.17
A114;15.88
A115;14.99
A116;16.17
A117;14.71
A118;14.25
A119;14.14
A120;14.06
