"metabolite";"Time";"Treatment";"P_Value";"Rho"
"Alanine";15;"C";1;-0.00606060606060606
"Alanine";15;"Fe";0.0172233245149912;-0.783333333333333
"Alanine";15;"P";0.0490426316833764;-0.648484848484848
"Alanine";30;"C";0.0957915691435819;-0.563636363636364
"Alanine";30;"Fe";0.0275141191111855;-0.709090909090909
"Alanine";30;"P";0.0098441361663116;-0.793939393939394
"Alanine";60;"C";0.0116512675298474;-0.781818181818182
"Alanine";60;"Fe";0.00138026714145766;-0.890909090909091
"Alanine";60;"P";0.469675250206491;-0.260606060606061
"Alanine";120;"C";0.0136717821032753;-0.76969696969697
"Alanine";120;"Fe";0.132823060175966;-0.515151515151515
"Alanine";120;"P";0.0116512675298474;-0.781818181818182
"Arginine";15;"C";1;-0.00606060606060606
"Arginine";15;"Fe";0.62163273730088;0.191485421551268
"Arginine";15;"P";0.00555680454585398;0.83030303030303
"Arginine";30;"C";0.204200583289326;0.442424242424242
"Arginine";30;"Fe";0.14336680194002;0.503030303030303
"Arginine";30;"P";0.0664691374895167;0.612121212121212
"Arginine";60;"C";0.178219329270541;0.466666666666667
"Arginine";60;"Fe";0.00154747245550379;0.85666839728859
"Arginine";60;"P";0.0311410954595681;0.696969696969697
"Arginine";120;"C";0.0275141191111856;0.709090909090909
"Arginine";120;"Fe";0.0659722311005178;-0.601252610966769
"Arginine";120;"P";0.469675250206491;0.260606060606061
"Asparagine";15;"C";0.26288678352469;0.393939393939394
"Asparagine";15;"Fe";0.0665619488536155;-0.65
"Asparagine";15;"P";0.0068111327718268;0.818181818181818
"Asparagine";30;"C";0.262886783524689;-0.393939393939394
"Asparagine";30;"Fe";0.0159208292880929;-0.757575757575757
"Asparagine";30;"P";0.000880224994754143;0.903030303030303
"Asparagine";60;"C";0.0136717821032753;-0.76969696969697
"Asparagine";60;"Fe";0.190932019316111;-0.454545454545455
"Asparagine";60;"P";0.0136717821032753;0.76969696969697
"Asparagine";120;"C";0.00268141517103887;-0.866666666666667
"Asparagine";120;"Fe";0.00268141517103887;-0.866666666666667
"Asparagine";120;"P";0.000130162394465275;0.927272727272727
"Aspartate";15;"C";0.0490426316833764;-0.648484848484848
"Aspartate";15;"Fe";0.520634920634921;-0.25
"Aspartate";15;"P";0.0490426316833765;0.648484848484848
"Aspartate";30;"C";0.367683999158498;-0.321212121212121
"Aspartate";30;"Fe";0.190932019316111;-0.454545454545455
"Aspartate";30;"P";0.26288678352469;0.393939393939394
"Aspartate";60;"C";0.972841176143636;0.0181818181818182
