"metabolite";"Time";"Treatment";"L";"L_se";"U";"U_se";"Enrichment";"P_Value"
"Alanine";"15";"C";0.00913523790204684;0.0010293053912494;0.0118478118369946;0.0038527021529149;-0.00271257393494773;0.345238095238095
"Alanine";"15";"Fe";0.0116775806044794;0.00139376358964606;0.0136767118643285;0.00287918443010825;-0.00199913125984903;0.452380952380952
"Alanine";"15";"P";0.00859067687804642;0.000381003535378077;0.00840907402718645;0.00088134853716825;0.000181602850859972;0.579365079365079
"Alanine";"30";"C";0.0113619283401445;0.000573341645596166;0.00728687020742251;0.000702149866434191;0.00407505813272198;0.00396825396825397
"Alanine";"30";"Fe";0.0139933669313973;0.00137872078088015;0.0129021254595922;0.00158604151803188;0.00109124147180518;0.273809523809524
"Alanine";"30";"P";0.00978329455415484;0.00120730784471591;0.00772668886960223;0.000927125855021981;0.00205660568455261;0.154761904761905
"Alanine";"60";"C";0.0127939356247172;0.00140081954977853;0.0109558575382396;0.00147509554671625;0.00183807808647762;0.273809523809524
"Alanine";"60";"Fe";0.0134659184706063;0.000575790085792461;0.0103068867936582;0.00113516808471439;0.00315903167694812;0.0753968253968254
"Alanine";"60";"P";0.00955947502402252;0.000649100919072967;0.010079711953003;0.000255445180583468;-0.000520236928980455;0.78968253968254
"Alanine";"120";"C";0.0119273871853676;0.00101054351319155;0.010254083339472;0.000801172988656597;0.00167330384589561;0.111111111111111
"Alanine";"120";"Fe";0.016254409707725;0.000609396464398928;0.0169127267575171;0.000882846734733144;-0.000658317049792041;0.579365079365079
"Alanine";"120";"P";0.0136638236654735;0.00193251498561374;0.0101518055518586;0.000717221564415275;0.00351201811361491;0.0277777777777778
"Arginine";"15";"C";0.00492731821655067;0.0006609567684792;0.00523592448136594;0.000329689144789045;-0.000308606264815272;0.78968253968254
"Arginine";"15";"Fe";0.0015070988565551;0.00108242209051059;0.0125480073214966;0.0117632588437419;-0.0110409084649415;0.722222222222222
"Arginine";"15";"P";0.00109383421128298;6.37608278078488e-05;0.00116578591162177;0.000188041481150259;-7.19517003387991e-05;0.579365079365079
"Arginine";"30";"C";0.00487916492853815;0.000773491548086772;0.00514557964467639;0.000311992723670394;-0.000266414716138234;0.345238095238095
"Arginine";"30";"Fe";0.00160906574222397;0.000775530460602424;0.00185323078098299;0.000686086432153054;-0.000244165038759024;0.579365079365079
"Arginine";"30";"P";0.00115875906910334;0.000207388752222103;0.00094435590219822;0.000114869473370411;0.000214403166905119;0.5
"Arginine";"60";"C";0.0047862176639939;0.000630962705222272;0.00337225484011744;0.00105792069853064;0.00141396282387646;0.111111111111111
"Arginine";"60";"Fe";0.000967231330021349;0.000524495074181071;0.00120966457465684;0.000553100164871888;-0.000242433244635493;0.5
"Arginine";"60";"P";0.00123306768615562;0.000113383516747231;0.000782143640886828;9.07174682425398e-05;0.000450924045268794;0.00793650793650794
"Arginine";"120";"C";0.00458901991140213;0.000399858844542001;0.00481888244396837;0.000568804392706583;-0.000229862532566243;0.726190476190476
"Arginine";"120";"Fe";0.000994045166874402;0.000375782934184304;0.000217581796133894;0.000217423237430246;0.000776463370740508;0.0158730158730159
"Arginine";"120";"P";0.00160797293940734;0.000463764558557548;0.00115702886743452;0.000144375932332221;0.000450944071972824;0.345238095238095
"Asparagine";"15";"C";0.00632471744765675;0.0023563071890914;0.00576758259105101;0.0012752635377167;0.000557134856605736;0.5
"Asparagine";"15";"Fe";0.01220993363348;0.000970171642369297;0.0079066804526752;0.000457769838182109;0.00430325318080483;0.00793650793650794
"Asparagine";"15";"P";0.0216876149623488;0.00243262069121668;0.02165256792421;0.0016325132546522;3.50470381388114e-05;0.5
"Asparagine";"30";"C";0.0061185261478312;0.00166218757284503;0.00339530295997665;0.000370956238788659;0.00272322318785455;0.0277777777777778
"Asparagine";"30";"Fe";0.00899537894288529;0.0009964039176723;0.0115431568560483;0.00153161059479456;-0.00254777791316299;0.924603174603175
"Asparagine";"30";"P";0.0212147313193513;0.00327812998124412;0.0276680884584282;0.00272561652920286;-0.00645335713907687;0.924603174603175
"Asparagine";"60";"C";0.00540899792186662;0.000776654312759353;0.00684191971820327;0.00155125923753187;-0.00143292179633666;0.726190476190476
"Asparagine";"60";"Fe";0.010265748137241;0.00059737714327732;0.00807487174692686;0.000807519306597137;0.00219087639031411;0.0476190476190476
"Asparagine";"60";"P";0.0201610461431011;0.00100070822426525;0.0220363886224851;0.00289769044944485;-0.001875342479384;0.654761904761905
"Asparagine";"120";"C";0.00555622223253972;0.000580599703403753;0.0045608433118029;0.000914712709181456;0.00099537892073682;0.154761904761905
"Asparagine";"120";"Fe";0.0114584434561467;0.00197328284502587;0.0104369959316429;0.00112819359458251;0.0010214475245038;0.579365079365079
"Asparagine";"120";"P";0.0197679829982587;0.00313234876295364;0.0251307203584666;0.00449205567382239;-0.0053627373602079;0.78968253968254
"Aspartate";"15";"C";0.00566488099175083;0.000456913512617182;0.004987101087195;0.000562397999118019;0.00067777990455583;0.21031746031746
"Aspartate";"15";"Fe";0.00524916644397358;0.000305546583213164;0.00756553865254904;0.00144538676511492;-0.00231637220857546;0.944444444444444
"Aspartate";"15";"P";0.00456016385492538;0.000357846623893033;0.00483582833235198;0.000369996544925007;-0.000275664477426596;0.78968253968254
"Aspartate";"30";"C";0.00707783304332979;0.000994624834301771;0.00474613265497603;0.000419058106874556;0.00233170038835376;0.0158730158730159
"Aspartate";"30";"Fe";0.00661766772006588;0.000412127418532452;0.00716298848258064;0.00121571103560221;-0.000545320762514759;0.420634920634921
"Aspartate";"30";"P";0.00629096848490875;0.000658904669112648;0.0054433542481676;0.000751121089502419;0.000847614236741157;0.273809523809524
"Aspartate";"60";"C";0.00777305913320692;0.000913393758671085;0.00467099630270362;0.00055850423875089;0.0031020628305033;0.0158730158730159
"Aspartate";"60";"Fe";0.00583851418991264;0.000323094445386769;0.0045849858280409;0.000492579411788123;0.00125352836187174;0.0476190476190476
"Aspartate";"60";"P";0.00593482525119906;0.000355193619631705;0.00719138089537357;0.000861002452740488;-0.00125655564417451;0.845238095238095
"Aspartate";"120";"C";0.00748622070276074;0.000507736294410319;0.00636148711811574;0.00179143678054023;0.001124733584645;0.0753968253968254
"Aspartate";"120";"Fe";0.00973609798842848;0.00114225088614059;0.00460482854793549;0.000784183917934262;0.00513126944049299;0.00793650793650794
"Aspartate";"120";"P";0.00762175054553833;0.00204130707439516;0.00726554240481399;0.00126987948261565;0.000356208140724345;0.726190476190476
"Citrulline";"15";"C";0.00716860276319219;0.00057220265545761;0.00989990421052527;0.00155723033217437;-0.00273130144733308;0.924603174603175
"Citrulline";"15";"Fe";0.0186540181706656;0.00429190258224046;0.0181689851748804;0.00287602451919497;0.000485032995785194;0.452380952380952
"Citrulline";"15";"P";0.00764733423745491;0.000269051444717914;0.00726965175979251;0.000167905617581221;0.000377682477662403;0.21031746031746
"Citrulline";"30";"C";0.00906592580480191;0.000735561481434578;0.00767567967711504;0.000505367214637031;0.00139024612768686;0.111111111111111
"Citrulline";"30";"Fe";0.00983970043828652;0.00111424630828728;0.00904789674367744;0.000802546278012303;0.000791803694609079;0.273809523809524
