"metabolite";"Time";"Treatment";"L";"L_se";"U";"U_se";"Enrichment";"P_Value"
"Alanine";"30";"C";0.0113619286;0.000573341640665284;0.0072868702;0.000702149820501252;0.0040750584;0.00396825396825397
"Alanine";"120";"P";0.0136638236;0.00193251501327365;0.0101518056;0.000717221471460009;0.003512018;0.0277777777777778
"Arginine";"60";"P";0.001233068;0.000113383441115535;0.0007821436;9.07175737316646e-05;0.0004509244;0.00793650793650794
"Arginine";"120";"Fe";0.0009940428;0.000375784402258715;0.0002175822;0.0002174232;0.0007764606;0.0373195915278042
"Asparagine";"15";"Fe";0.01220993375;0.000970171596076211;0.0079066806;0.000457769814181604;0.00430325315;0.00793650793650794
"Asparagine";"30";"C";0.006118526;0.00166218751483306;0.003395303;0.000370956094228279;0.002723223;0.0277777777777778
"Asparagine";"60";"Fe";0.0102657484;0.000597377173306161;0.0080748718;0.000807519190229396;0.0021908766;0.0476190476190476
"Aspartate";"30";"C";0.0070778334;0.000994624843110889;0.0047461328;0.000419058123255999;0.0023317006;0.0158730158730159
"Aspartate";"60";"C";0.007773059;0.000913393722847382;0.0046709962;0.000558504166757008;0.0031020628;0.0158730158730159
"Aspartate";"60";"Fe";0.0058385144;0.000323094531027624;0.004584986;0.000492579418478178;0.0012535284;0.0476190476190476
"Aspartate";"120";"Fe";0.009736098;0.00114225083199755;0.0046048286;0.000784183979287042;0.0051312694;0.00793650793650794
"Citrulline";"60";"C";0.0145740086;0.00178220222751941;0.0076097868;0.00030269874229296;0.0069642218;0.00396825396825397
"Citrulline";"60";"Fe";0.0176935502;0.00209817764381142;0.012131932;0.00227262297290301;0.0055616182;0.0476190476190476
"Citrulline";"120";"C";0.0162414658;0.00112883274742512;0.0078485364;0.00105098172144774;0.0083929294;0.00396825396825397
"Citrulline";"120";"P";0.0127395098;0.00093909562091064;0.008127773;0.000487684784464309;0.0046117368;0.00793650793650794
