metabolite;Time;Labeling;Treatment;N;mean;sd;se
1;Alanine;15;L;C;5;0.00913523790204684;0.00230159682444067;0.0010293053912494
2;Alanine;15;L;Fe;4;0.0116775806044794;0.00278752717929212;0.00139376358964606
3;Alanine;15;L;P;5;0.00859067687804642;0.000851949804773126;0.000381003535378077
4;Alanine;15;U;C;5;0.0118478118369946;0.00861490391097751;0.0038527021529149
5;Alanine;15;U;Fe;5;0.0136767118643285;0.00643805210548104;0.00287918443010825
6;Alanine;15;U;P;5;0.00840907402718645;0.00197075524097821;0.00088134853716825
7;Alanine;30;L;C;5;0.0113619283401445;0.00128203089388462;0.000573341645596166
8;Alanine;30;L;Fe;5;0.0139933669313973;0.00308291338803961;0.00137872078088015
9;Alanine;30;L;P;5;0.00978329455415484;0.00269962241055353;0.00120730784471591
10;Alanine;30;U;C;5;0.00728687020742251;0.00157005483173925;0.000702149866434191
11;Alanine;30;U;Fe;5;0.0129021254595922;0.00354649664945624;0.00158604151803188
12;Alanine;30;U;P;5;0.00772668886960223;0.00207311643552676;0.000927125855021981
13;Alanine;60;L;C;5;0.0127939356247172;0.00313232773751544;0.00140081954977853
14;Alanine;60;L;Fe;5;0.0134659184706063;0.00128750577260238;0.000575790085792461
15;Alanine;60;L;P;5;0.00955947502402252;0.00145143377930475;0.000649100919072967
16;Alanine;60;U;C;5;0.0109558575382396;0.00329841391576476;0.00147509554671625
17;Alanine;60;U;Fe;5;0.0103068867936582;0.00253831300330961;0.00113516808471439
18;Alanine;60;U;P;5;0.010079711953003;0.000571192788309345;0.000255445180583468
19;Alanine;120;L;C;5;0.0119273871853676;0.00225964398971776;0.00101054351319155
20;Alanine;120;L;Fe;5;0.016254409707725;0.00136265191964403;0.000609396464398928
21;Alanine;120;L;P;5;0.0136638236654735;0.00432123487536935;0.00193251498561374
22;Alanine;120;U;C;5;0.010254083339472;0.00179147726437282;0.000801172988656597
23;Alanine;120;U;Fe;5;0.0169127267575171;0.00197410531257704;0.000882846734733144
24;Alanine;120;U;P;5;0.0101518055518586;0.0016037561729613;0.000717221564415275
25;Arginine;15;L;C;5;0.00492731821655067;0.00147794426450808;0.0006609567684792
26;Arginine;15;L;Fe;4;0.00150710274405924;0.00216484057289608;0.00108242028644804
27;Arginine;15;L;P;5;0.00109383421128298;0.000142573545280009;6.37608278078488e-05
28;Arginine;15;U;C;5;0.00523592448136594;0.000737207339192074;0.000329689144789045
29;Arginine;15;U;Fe;5;0.0125480110019745;0.0263034442168541;0.0117632578622519
30;Arginine;15;U;P;5;0.00116578591162177;0.000420473534441724;0.000188041481150259
31;Arginine;30;L;C;5;0.00487916492853815;0.00172957968154357;0.000773491548086772
32;Arginine;30;L;Fe;5;0.00160906574222397;0.00173413882852874;0.000775530460602424
33;Arginine;30;L;P;5;0.00115875906910334;0.000463735347737483;0.000207388752222103
34;Arginine;30;U;C;5;0.00514557964467639;0.000697636938612309;0.000311992723670394
35;Arginine;30;U;Fe;5;0.00185323537333644;0.00153412896686877;0.00068608333123402
36;Arginine;30;U;P;5;0.00094435590219822;0.000256855950995841;0.000114869473370411
37;Arginine;60;L;C;5;0.0047862176639939;0.00141087550014416;0.000630962705222272
38;Arginine;60;L;Fe;5;0.000967224248597925;0.00117281393871589;0.000524498338385601
39;Arginine;60;L;P;5;0.00123306768615562;0.000253533250974794;0.000113383516747231
40;Arginine;60;U;C;5;0.00337225180249828;0.00236558800929217;0.00105792311910714
41;Arginine;60;U;Fe;5;0.00120966625193497;0.00123676751662642;0.000553099247908055
