"metabolite";"Time";"Treatment";"P_Value";"Rho"
"Aconitate";15;"C";0.536688086753551;-0.224242424242424
"Aconitate";15;"Fe";0.147525352733686;-0.533333333333333
"Aconitate";15;"P";0.3125;-0.383333333333333
"Aconitate";30;"C";0.731278765094574;-0.133892385400916
"Aconitate";30;"Fe";0.0877680432613641;-0.575757575757576
"Aconitate";30;"P";0.10429776397167;-0.551515151515151
"Aconitate";60;"C";0.0159208292880929;-0.757575757575757
"Aconitate";60;"Fe";0.190932019316111;-0.454545454545455
"Aconitate";60;"P";0.262886783524689;-0.393939393939394
"Aconitate";120;"C";0.0311410954595681;-0.696969696969697
"Aconitate";120;"Fe";0.262886783524689;-0.393939393939394
"Aconitate";120;"P";0.0957915691435819;-0.563636363636364
"Citrate";15;"C";0.629579804222883;-0.174557209635514
"Citrate";15;"Fe";0.159555947643432;-0.511207720338155
"Citrate";15;"P";0.0254635616832393;-0.730296743340221
"Citrate";30;"C";0.888697453194698;-0.0547722557505166
"Citrate";30;"Fe";0.901205936909349;0.0452555728684665
"Citrate";60;"C";0.901205936909349;-0.0452555728684665
"Citrate";60;"Fe";0.276771473130731;-0.381439828462789
"Citrate";60;"P";0.836627624494491;-0.0751067616198811
"Citrate";120;"C";0.0998696630009896;-0.549531956259951
"Citrate";120;"Fe";0.33243154241313;-0.342649337432675
"Citrate";120;"P";0.792796189507972;-0.0955904238798487
"Fumarate";15;"C";0.244128681896491;0.406181197229962
"Fumarate";60;"C";0.500188742939847;-0.242199671516918
"Fumarate";120;"C";0.416120253507059;-0.29012942659283
"Glycerate";15;"C";0.121502918817113;0.522232967867094
"Glycerate";15;"Fe";0.302179590131161;-0.387970144899493
"Glycerate";15;"P";0.725369135954555;-0.136930639376292
"Glycerate";30;"Fe";0.630536075556976;-0.174077655955698
"Glycerate";30;"P";0.355242935624291;0.327738596159481
"Glycerate";60;"C";0.873494892371295;-0.058025885318566
"Glycerate";60;"P";0.557176196419867;-0.211664510019665
"Glycerate";120;"Fe";0.103782165815215;-0.544336728766419
"Glycerate";120;"P";0.258333584805976;-0.395203378419455
"Glycolate";15;"C";0.821776220597893;0.0820233426908302
"Glycolate";15;"Fe";0;1
"Glycolate";15;"P";0.0218620411090444;0.742781352708207
"Glycolate";30;"C";0.538608766435327;-0.237346441585572
"Glycolate";30;"P";0.762462917219955;-0.10990639125199
"Glycolate";60;"C";0.0113411467110004;0.756414575087226
"Glycolate";60;"Fe";0.356610658453086;0.326860225230307
"Glycolate";60;"P";0.555386525794032;0.212603835823446
"Glycolate";120;"C";0.00373895098080804;-0.819150073319746
"Glycolate";120;"P";0.0293766834796137;0.683349073208448
"Hydroxyglutarate";15;"C";0.115545873690515;-0.529423393731722
"Hydroxyglutarate";15;"Fe";0.34708012239835;-0.355983339400925
"Hydroxyglutarate";15;"P";0.317822681698524;0.376572333940075
"Hydroxyglutarate";30;"Fe";0.198671701174244;0.443966833631313
"Hydroxyglutarate";30;"P";0.291468271298959;-0.370822381644839
"Hydroxyglutarate";60;"C";0.36637679951947;-0.320636703245973
"Hydroxyglutarate";60;"Fe";0.52012572767066;-0.231362997807867
"Hydroxyglutarate";60;"P";0.420312285422207;0.287640483761132
"Hydroxyglutarate";120;"C";0.553970853505801;-0.213347700665628
"Hydroxyglutarate";120;"Fe";0.141485745645218;-0.49959672366233
"Hydroxyglutarate";120;"P";0.67225190847117;-0.153385779784962
"Isocitrate";15;"C";0.0490426316833764;-0.648484848484848
"Isocitrate";15;"Fe";0.025490520282187;-0.75
"Isocitrate";15;"P";0.493331128747795;-0.266666666666667
"Isocitrate";30;"C";0.462990520282187;-0.283333333333333
"Isocitrate";30;"Fe";0.232418098250503;-0.418181818181818
"Isocitrate";30;"P";0.0136717821032753;-0.76969696969697
"Isocitrate";60;"C";0.448272158936988;-0.272727272727273
"Isocitrate";60;"Fe";0.12280318761783;-0.527272727272727
"Isocitrate";60;"P";0.918633282432669;-0.0424242424242424
"Isocitrate";120;"C";0.864753528804526;-0.0666666666666667
"Isocitrate";120;"Fe";0.0241945875284697;-0.721212121212121
"Isocitrate";120;"P";0.536688086753551;-0.224242424242424
"Itaconate";15;"C";0.178219329270542;-0.466666666666667
"Itaconate";15;"Fe";0.025490520282187;-0.75
"Itaconate";15;"P";0.025490520282187;-0.75
"Itaconate";30;"C";0.775628306878307;-0.116666666666667
"Itaconate";30;"Fe";0.178219329270541;0.466666666666667
"Itaconate";30;"P";1;0.00606060606060606
"Itaconate";60;"C";0.607566897460635;0.187878787878788
"Itaconate";60;"Fe";0.295604089197812;-0.36969696969697
"Itaconate";60;"P";0.513898326223936;-0.236363636363636
"Itaconate";120;"C";0.387054968154447;-0.309090909090909
"Itaconate";120;"Fe";0.166058037179348;-0.478787878787879
"Itaconate";120;"P";0.312800267381167;-0.357575757575757
"Lactate";120;"C";1.0635035875251e-62;1
"Malate";15;"C";0.00555680454585398;0.83030303030303
"Malate";15;"Fe";0.00450837742504409;0.866666666666667
"Malate";15;"P";0.025490520282187;0.75
"Malate";30;"C";0.193799603174603;0.483333333333333
"Malate";30;"Fe";0;0.939393939393939
"Malate";30;"P";0.0068111327718268;0.818181818181818
"Malate";60;"C";0.0098441361663116;0.793939393939394
"Malate";60;"Fe";0.00138026714145767;0.890909090909091
"Malate";60;"P";0.00555680454585398;0.83030303030303
