$Aconitate;;
$Aconitate$`15`;;
;i$mean_enrichment;groups
Fe;10.75;a
C;7.8;a
P;4.6;a
;;
$Aconitate$`30`;;
;i$mean_enrichment;groups
Fe;10.8;a
C;7.25;ab
P;4.4;b
;;
$Aconitate$`60`;;
;i$mean_enrichment;groups
Fe;11;a
C;7.4;a
P;5.6;a
;;
$Aconitate$`120`;;
;i$mean_enrichment;groups
C;12.8;a
Fe;7.4;b
P;3.8;c
;;
;;
$Citrate;;
$Citrate$`15`;;
;i$mean_enrichment;groups
Fe;10;a
C;9.8;a
P;3.2;b
;;
$Citrate$`30`;;
;i$mean_enrichment;groups
C;11.5;a
Fe;8.8;a
P;3;b
;;
$Citrate$`60`;;
;i$mean_enrichment;groups
C;11;a
Fe;9.8;a
P;3.2;b
;;
$Citrate$`120`;;
;i$mean_enrichment;groups
C;12.6;a
Fe;8.2;b
P;3.2;c
;;
;;
$Fumarate;;
$Fumarate$`15`;;
;i$mean_enrichment;groups
P;8.6;a
C;7.4;a
Fe;6.25;a
;;
$Fumarate$`30`;;
;i$mean_enrichment;groups
C;9;a
P;8.4;a
Fe;5.4;a
;;
$Fumarate$`60`;;
;i$mean_enrichment;groups
P;9;a
C;8.4;a
Fe;6.6;a
;;
$Fumarate$`120`;;
;i$mean_enrichment;groups
C;10;a
P;7.6;a
Fe;6.4;a
;;
;;
$Glycerate;;
$Glycerate$`15`;;
;i$mean_enrichment;groups
Fe;8.5;a
P;8.4;a
C;5.8;a
;;
$Glycerate$`30`;;
;i$mean_enrichment;groups
P;9.6;a
Fe;6.6;a
C;6;a
;;
$Glycerate$`60`;;
;i$mean_enrichment;groups
P;12.2;a
C;8.4;b
Fe;3.4;c
;;
$Glycerate$`120`;;
;i$mean_enrichment;groups
Fe;10.4;a
P;9.4;a
C;4.2;a
;;
;;
$Glycolate;;
$Glycolate$`15`;;
;i$mean_enrichment;groups
C;7.6;a
P;7.6;a
Fe;7.25;a
;;
$Glycolate$`30`;;
;i$mean_enrichment;groups
C;8.5;a
P;7.6;a
Fe;6.6;a
;;
$Glycolate$`60`;;
;i$mean_enrichment;groups
C;9.6;a
P;8.8;a
Fe;5.6;a
;;
$Glycolate$`120`;;
;i$mean_enrichment;groups
C;11;a
P;6.8;a
Fe;6.2;a
;;
;;
$Hydroxyglutarate;;
$Hydroxyglutarate$`15`;;
;i$mean_enrichment;groups
P;10.2;a
Fe;9.75;a
C;3;b
;;
$Hydroxyglutarate$`30`;;
;i$mean_enrichment;groups
Fe;11.8;a
P;7.2;b
C;2.5;c
;;
$Hydroxyglutarate$`60`;;
;i$mean_enrichment;groups
Fe;11.4;a
P;8.8;ab
C;3.8;b
;;
$Hydroxyglutarate$`120`;;
;i$mean_enrichment;groups
P;10;a
Fe;7.6;a
C;6.4;a
;;
;;
$Isocitrate;;
$Isocitrate$`15`;;
;i$mean_enrichment;groups
C;10.8;a
Fe;8.5;a
P;3.4;b
;;
$Isocitrate$`30`;;
;i$mean_enrichment;groups
C;11;a
Fe;9.2;a
P;3;b
;;
$Isocitrate$`60`;;
;i$mean_enrichment;groups
C;13;a
P;6.4;b
Fe;4.6;b
;;
$Isocitrate$`120`;;
;i$mean_enrichment;groups
C;13;a
Fe;6.4;b
P;4.6;b
;;
;;
$Itaconate;;
$Itaconate$`15`;;
;i$mean_enrichment;groups
C;11;a
Fe;8.75;a
P;3;b
;;
$Itaconate$`30`;;
;i$mean_enrichment;groups
C;11.25;a
Fe;9;a
P;3;b
;;
$Itaconate$`60`;;
;i$mean_enrichment;groups
C;12.4;a
Fe;8.6;b
P;3;c
;;
$Itaconate$`120`;;
;i$mean_enrichment;groups
C;11.2;a
Fe;9.4;a
P;3.4;b
;;
;;
$Lactate;;
$Lactate$`15`;;
;i$mean_enrichment;groups
P;8.2;a
C;7.8;a
Fe;6.25;a
;;
