metabolite;Time;Treatment;L;L_se;U;U_se;Enrichment;P_Value
Aconitate;30;P;0.015802453;0.002741971;0.008115652;0.000899692;0.007686801;0.027777778
Aconitate;60;Fe;0.063013252;0.00818227;0.018784085;0.000795939;0.044229166;0.003968254
Aconitate;120;C;0.066340286;0.009070744;0.031243908;0.006737014;0.035096379;0.015873016
Citrate;15;C;0.006873371;0.001644711;3.54E-07;9.87E-09;0.006873017;0.003968254
Citrate;15;Fe;0.008288749;0.003607406;3.58E-07;1.35E-08;0.008288391;0.007936508
Citrate;30;C;0.01296555;0.005442818;3.56E-07;9.31E-09;0.012965194;0.007936508
Citrate;30;Fe;0.005427452;0.002018279;3.50E-07;8.56E-09;0.005427103;0.003968254
Citrate;60;C;0.014386839;0.005443666;3.49E-07;1.05E-08;0.014386489;0.003968254
Citrate;60;Fe;0.007253858;0.002079021;3.43E-07;8.41E-09;0.007253515;0.003968254
Citrate;60;P;0.000688042;0.000417749;3.67E-07;8.54E-09;0.000687675;0.027777778
Citrate;120;C;0.019190113;0.001042543;3.50E-07;5.81E-09;0.019189763;0.003968254
Citrate;120;Fe;0.009069797;0.002633685;3.35E-07;4.88E-09;0.009069461;0.003968254
Glycerate;30;Fe;8.58E-05;8.54E-05;3.41E-07;3.68E-09;8.54E-05;0.015873016
Glycerate;120;Fe;0.00054022;0.000419078;3.64E-07;1.45E-09;0.000539856;0.003968254
Glycolate;15;P;0.000904324;0.000635697;3.44E-07;6.20E-09;0.00090398;0.007936508
Hydroxyglutarate;15;Fe;0.0050918;0.002434615;0.00043876;0.000327162;0.00465304;0.007936508
Hydroxyglutarate;30;Fe;0.008242983;0.00095759;0.000152247;0.000151895;0.008090736;0.003968254
Hydroxyglutarate;60;Fe;0.007568236;0.001267387;0.001251309;0.001250945;0.006316927;0.007936508
Hydroxyglutarate;60;P;0.005263612;0.001105393;7.19E-05;7.15E-05;0.005191726;0.003968254
Hydroxyglutarate;120;P;0.006301447;0.001796765;0.000365601;0.000270443;0.005935846;0.015873016
Isocitrate;15;C;0.01361857;0.004024038;0.004466294;0.001522474;0.009152276;0.027777778
Isocitrate;30;Fe;0.004763182;0.000633895;0.003247072;0.000455201;0.00151611;0.047619048
Isocitrate;60;P;0.004006555;0.001075472;0.001892006;0.000265371;0.002114549;0.027777778
Isocitrate;120;C;0.014109969;0.001422999;0.008187849;0.002239029;0.005922121;0.047619048
Isocitrate;120;P;0.003490158;0.000201763;0.002079235;0.0002135;0.001410923;0.007936508
Lactate;30;Fe;3.70E-07;1.23E-08;3.42E-07;1.05E-08;2.77E-08;0.047619048
Oxalate;60;P;0.004219272;0.001984182;3.55E-07;1.03E-08;0.004218917;0.003968254
Oxalate;120;C;0.001981166;0.000614904;2.85E-05;2.82E-05;0.00195264;0.015873016
Oxalate;120;Fe;0.000986475;0.000436891;3.56E-07;9.10E-09;0.000986119;0.007936508
Oxaloacetate;30;C;0.089173432;0.046981083;3.66E-07;1.39E-08;0.089173065;0.007936508
Oxaloacetate;60;C;0.066230901;0.011247051;0.02712416;0.007482712;0.039106741;0.007936508
Oxaloacetate;60;P;0.127395683;0.019487809;0.042094025;0.007640808;0.085301657;0.003968254
Oxoglutarate;15;C;0.001653064;6.07E-05;0.001018055;0.000168716;0.000635009;0.007936508
Oxoglutarate;15;P;0.001945468;0.000185873;0.001026266;0.000252079;0.000919201;0.031746032
Oxoglutarate;30;Fe;0.000942982;0.000726348;3.40E-07;5.28E-09;0.000942642;0.007936508
Oxoglutarate;60;Fe;0.00153283;0.000406053;1.81E-05;1.77E-05;0.001514743;0.003968254
Oxoglutarate;120;Fe;0.005316536;0.001285399;3.68E-07;9.28E-09;0.005316168;0.003968254
Pyruvate;30;P;0.001216932;0.000578954;3.65E-07;9.17E-09;0.001216567;0.015873016
Succinate;60;Fe;8.76E-05;6.93E-05;3.46E-07;1.16E-08;8.73E-05;0.047619048
Succinate;60;P;6.26E-05;3.90E-05;3.54E-07;1.21E-08;6.23E-05;0.027777778
