sample;metabolite;derivative;isotopologue
018_A1.cdf;Alanine;AccQ;0
018_A1.cdf;Alanine;AccQ;1
018_A1.cdf;Alanine;AccQ;2
018_A1.cdf;Alanine;AccQ;3
018_A1.cdf;Arginine;AccQ;0
018_A1.cdf;Arginine;AccQ;1
018_A1.cdf;Arginine;AccQ;2
018_A1.cdf;Arginine;AccQ;3
018_A1.cdf;Arginine;AccQ;4
018_A1.cdf;Arginine;AccQ;5
018_A1.cdf;Arginine;AccQ;6
018_A1.cdf;Asparagine;AccQ;0
018_A1.cdf;Asparagine;AccQ;1
018_A1.cdf;Asparagine;AccQ;2
018_A1.cdf;Asparagine;AccQ;3
018_A1.cdf;Asparagine;AccQ;4
018_A1.cdf;Aspartate;AccQ;0
018_A1.cdf;Aspartate;AccQ;1
018_A1.cdf;Aspartate;AccQ;2
018_A1.cdf;Aspartate;AccQ;3
018_A1.cdf;Aspartate;AccQ;4
018_A1.cdf;Citrulline;AccQ;0
018_A1.cdf;Citrulline;AccQ;1
018_A1.cdf;Citrulline;AccQ;2
018_A1.cdf;Citrulline;AccQ;3
018_A1.cdf;Citrulline;AccQ;4
018_A1.cdf;Citrulline;AccQ;5
018_A1.cdf;Citrulline;AccQ;6
018_A1.cdf;Glutamine;AccQ;0
018_A1.cdf;Glutamine;AccQ;1
018_A1.cdf;Glutamine;AccQ;2
018_A1.cdf;Glutamine;AccQ;3
018_A1.cdf;Glutamine;AccQ;4
018_A1.cdf;Glutamine;AccQ;5
018_A1.cdf;Glycine;AccQ;0
018_A1.cdf;Glycine;AccQ;1
018_A1.cdf;Glycine;AccQ;2
018_A1.cdf;Histidine;AccQ;0
018_A1.cdf;Histidine;AccQ;1
018_A1.cdf;Histidine;AccQ;2
018_A1.cdf;Histidine;AccQ;3
018_A1.cdf;Histidine;AccQ;4
018_A1.cdf;Histidine;AccQ;5
018_A1.cdf;Histidine;AccQ;6
018_A1.cdf;Isoleucine;AccQ;0
018_A1.cdf;Isoleucine;AccQ;1
018_A1.cdf;Isoleucine;AccQ;2
018_A1.cdf;Isoleucine;AccQ;3
018_A1.cdf;Isoleucine;AccQ;4
018_A1.cdf;Isoleucine;AccQ;5
018_A1.cdf;Isoleucine;AccQ;6
018_A1.cdf;Leucine;AccQ;0
018_A1.cdf;Leucine;AccQ;1
018_A1.cdf;Leucine;AccQ;2
018_A1.cdf;Leucine;AccQ;3
018_A1.cdf;Leucine;AccQ;4
018_A1.cdf;Leucine;AccQ;5
018_A1.cdf;Leucine;AccQ;6
018_A1.cdf;Lysine;AccQ;0
018_A1.cdf;Lysine;AccQ;1
018_A1.cdf;Lysine;AccQ;2
018_A1.cdf;Lysine;AccQ;3
018_A1.cdf;Lysine;AccQ;4
018_A1.cdf;Lysine;AccQ;5
018_A1.cdf;Lysine;AccQ;6
018_A1.cdf;Methionine;AccQ;0
018_A1.cdf;Methionine;AccQ;1
018_A1.cdf;Methionine;AccQ;2
018_A1.cdf;Methionine;AccQ;3
018_A1.cdf;Methionine;AccQ;4
018_A1.cdf;Methionine;AccQ;5
018_A1.cdf;Norvaline;AccQ;0
018_A1.cdf;Norvaline;AccQ;1
018_A1.cdf;Norvaline;AccQ;2
018_A1.cdf;Norvaline;AccQ;3
018_A1.cdf;Norvaline;AccQ;4
018_A1.cdf;Norvaline;AccQ;5
018_A1.cdf;Phenylalanine;AccQ;0
018_A1.cdf;Phenylalanine;AccQ;1
018_A1.cdf;Phenylalanine;AccQ;2
018_A1.cdf;Phenylalanine;AccQ;3
018_A1.cdf;Phenylalanine;AccQ;4
018_A1.cdf;Phenylalanine;AccQ;5
018_A1.cdf;Phenylalanine;AccQ;6
018_A1.cdf;Phenylalanine;AccQ;7
018_A1.cdf;Phenylalanine;AccQ;8
018_A1.cdf;Phenylalanine;AccQ;9
018_A1.cdf;Proline;AccQ;0
018_A1.cdf;Proline;AccQ;1
018_A1.cdf;Proline;AccQ;2
018_A1.cdf;Proline;AccQ;3
018_A1.cdf;Proline;AccQ;4
018_A1.cdf;Proline;AccQ;5
018_A1.cdf;Serine;AccQ;0
018_A1.cdf;Serine;AccQ;1
018_A1.cdf;Serine;AccQ;2
018_A1.cdf;Serine;AccQ;3
018_A1.cdf;Threonine;AccQ;0
018_A1.cdf;Threonine;AccQ;1
018_A1.cdf;Threonine;AccQ;2
018_A1.cdf;Threonine;AccQ;3
018_A1.cdf;Threonine;AccQ;4
018_A1.cdf;Tryptophan;AccQ;0
018_A1.cdf;Tryptophan;AccQ;1
018_A1.cdf;Tryptophan;AccQ;2
018_A1.cdf;Tryptophan;AccQ;3
018_A1.cdf;Tryptophan;AccQ;4
018_A1.cdf;Tryptophan;AccQ;5
018_A1.cdf;Tryptophan;AccQ;6
018_A1.cdf;Tryptophan;AccQ;7
018_A1.cdf;Tryptophan;AccQ;8
018_A1.cdf;Tryptophan;AccQ;9
018_A1.cdf;Tryptophan;AccQ;10
018_A1.cdf;Tryptophan;AccQ;11
018_A1.cdf;Tyrosine;AccQ;0
018_A1.cdf;Tyrosine;AccQ;1
018_A1.cdf;Tyrosine;AccQ;2
018_A1.cdf;Tyrosine;AccQ;3
018_A1.cdf;Tyrosine;AccQ;4
018_A1.cdf;Tyrosine;AccQ;5
018_A1.cdf;Tyrosine;AccQ;6
018_A1.cdf;Tyrosine;AccQ;7
018_A1.cdf;Tyrosine;AccQ;8
018_A1.cdf;Tyrosine;AccQ;9
018_A1.cdf;Valine;AccQ;0
018_A1.cdf;Valine;AccQ;1
018_A1.cdf;Valine;AccQ;2
018_A1.cdf;Valine;AccQ;3
018_A1.cdf;Valine;AccQ;4
018_A1.cdf;Valine;AccQ;5
018_A1.cdf;GABA;AccQ;0
018_A1.cdf;GABA;AccQ;1
018_A1.cdf;GABA;AccQ;2
