sample;metabolite;derivative;isotopologue
018_O1.cdf;Lactate;NPH;0
018_O1.cdf;Lactate;NPH;1
018_O1.cdf;Lactate;NPH;2
018_O1.cdf;Lactate;NPH;3
018_O1.cdf;Pyruvate;2NPH;0
018_O1.cdf;Pyruvate;2NPH;1
018_O1.cdf;Pyruvate;2NPH;2
018_O1.cdf;Pyruvate;2NPH;3
018_O1.cdf;Fumarate;2NPH;0
018_O1.cdf;Fumarate;2NPH;1
018_O1.cdf;Fumarate;2NPH;2
018_O1.cdf;Fumarate;2NPH;3
018_O1.cdf;Fumarate;2NPH;4
018_O1.cdf;Succinate;2NPH;0
018_O1.cdf;Succinate;2NPH;1
018_O1.cdf;Succinate;2NPH;2
018_O1.cdf;Succinate;2NPH;3
018_O1.cdf;Succinate;2NPH;4
018_O1.cdf;Malate;2NPH;0
018_O1.cdf;Malate;2NPH;1
018_O1.cdf;Malate;2NPH;2
018_O1.cdf;Malate;2NPH;3
018_O1.cdf;Malate;2NPH;4
018_O1.cdf;Isocitrate;2NPH;0
018_O1.cdf;Isocitrate;2NPH;1
018_O1.cdf;Isocitrate;2NPH;2
018_O1.cdf;Isocitrate;2NPH;3
018_O1.cdf;Isocitrate;2NPH;4
018_O1.cdf;Isocitrate;2NPH;5
018_O1.cdf;Isocitrate;2NPH;6
018_O1.cdf;Citrate;2NPH;0
018_O1.cdf;Citrate;2NPH;1
018_O1.cdf;Citrate;2NPH;2
018_O1.cdf;Citrate;2NPH;3
018_O1.cdf;Citrate;2NPH;4
018_O1.cdf;Citrate;2NPH;5
018_O1.cdf;Citrate;2NPH;6
018_O1.cdf;Oxaloacetate;2NPH;0
018_O1.cdf;Oxaloacetate;2NPH;1
018_O1.cdf;Oxaloacetate;2NPH;2
018_O1.cdf;Oxaloacetate;2NPH;3
018_O1.cdf;Oxaloacetate;2NPH;4
018_O1.cdf;Oxoglutarate;3NPH;0
018_O1.cdf;Oxoglutarate;3NPH;1
018_O1.cdf;Oxoglutarate;3NPH;2
018_O1.cdf;Oxoglutarate;3NPH;3
018_O1.cdf;Oxoglutarate;3NPH;4
