Compound;Time;Labeling;Treatment;N;mean;sd;se
1;Alanine;120min;L;C;5;0.0409404416;0.00793592932042828;0.00354905548502227
2;Alanine;120min;L;Fe;5;0.054652974;0.00167281396765988;0.000748105149079727
3;Alanine;120min;L;P;5;0.0475653968;0.00888457568353772;0.0039733030359264
4;Alanine;120min;U;C;5;0.0334096222;0.00795740932419152;0.00355866163473658
5;Alanine;120min;U;Fe;5;0.0518970618;0.00522471973369077;0.00233656569758343
6;Alanine;120min;U;P;5;0.03306496;0.0075477371075054;0.00337545064973594
7;Alanine;15min;L;C;5;0.0357890376;0.00862181758906029;0.00385579404374843
8;Alanine;15min;L;Fe;4;0.04313073825;0.00869855399896172;0.00434927699948086
9;Alanine;15min;L;P;5;0.030010752;0.00351914657084271;0.00157381019103792
10;Alanine;15min;U;C;5;0.0320222852;0.00818034513984017;0.00365836156241853
11;Alanine;15min;U;Fe;5;0.0445018434;0.00873311711816813;0.0039055687063382
12;Alanine;15min;U;P;5;0.0302088612;0.00855574251760352;0.00382624437346933
13;Alanine;30min;L;C;5;0.0399239664;0.00434223870687354;0.00194190818462
14;Alanine;30min;L;Fe;5;0.0490019536;0.00971930443570749;0.00434660508245144
15;Alanine;30min;L;P;5;0.035295006;0.00907733776912945;0.00405950886129995
16;Alanine;30min;U;C;5;0.0274571638;0.00767550260790615;0.00343258911855101
17;Alanine;30min;U;Fe;5;0.0423959856;0.00578901253882714;0.00258892511188322
18;Alanine;30min;U;P;5;0.030377443;0.00779296497328366;0.00348511988530742
19;Alanine;60min;L;C;5;0.0426998136;0.0089395217632684;0.00399787566980138
20;Alanine;60min;L;Fe;5;0.0479935662;0.00681603147531793;0.00304822194311781
21;Alanine;60min;L;P;5;0.0352434036;0.00378920170685941;0.00169458251939918
22;Alanine;60min;U;C;5;0.0343186174;0.0102842620550519;0.00459926181070355
23;Alanine;60min;U;Fe;5;0.0383013618;0.00687154093894519;0.00307304652993083
24;Alanine;60min;U;P;5;0.0348657596;0.00433291728369367;0.00193773951744456
25;Arginine;120min;L;C;5;0.0497354844;0.00327427814477173;0.0014643017017903
26;Arginine;120min;L;Fe;5;0.041815415;0.0141910869994909;0.00634644704109503
27;Arginine;120min;L;P;5;0.0123136256;0.0128572080494943;0.00574991823990534
28;Arginine;120min;U;C;5;0.0506824542;0.00691268918324957;0.00309144858421471
29;Arginine;120min;U;Fe;5;0.0298427114;0.00579225643250904;0.00259037582524013
30;Arginine;120min;U;P;5;0.0071294194;0.000973502792486391;0.000435363684057088
31;Arginine;15min;L;C;5;0.0441259116;0.00677519411233636;0.00302995891918809
32;Arginine;15min;L;Fe;4;0.03418575175;0.0136835166513411;0.00684175832567056
33;Arginine;15min;L;P;5;0.0064319114;0.000386796136948522;0.000172980491130243
34;Arginine;15min;U;C;5;0.046030603;0.00336499898078194;0.00150487329304919
35;Arginine;15min;U;Fe;5;0.03228783;0.00851850561792536;0.00380959152567899
36;Arginine;15min;U;P;5;0.0065703892;0.000625409917972765;0.000279691818077934
37;Arginine;30min;L;C;5;0.048642424;0.00880981378004765;0.00393986849626019
38;Arginine;30min;L;Fe;5;0.0335971378;0.00905939588742711;0.00405148500787381
39;Arginine;30min;L;P;5;0.0062870506;0.00107095998065955;0.000478947863587322
40;Arginine;30min;U;C;5;0.048098466;0.00331958533481269;0.00148456369315052
41;Arginine;30min;U;Fe;5;0.0410079002;0.024537522270032;0.0109735135590413
42;Arginine;30min;U;P;5;0.005891186;0.000861516581379314;0.000385281927941475
43;Arginine;60min;L;C;5;0.0475091772;0.0141092361501183;0.00630984222845239
44;Arginine;60min;L;Fe;5;0.0275820378;0.00813190888913755;0.00363670021258927
45;Arginine;60min;L;P;5;0.0070234356;0.000644403452614742;0.000288185984996425
46;Arginine;60min;U;C;5;0.0380456572;0.0160143839719365;0.00716185023580661
47;Arginine;60min;U;Fe;5;0.0334258758;0.00713513502724922;0.00319092938991381
48;Arginine;60min;U;P;5;0.0060562358;0.000512371769490865;0.000229139621266685
49;Asparagine;120min;L;C;5;0.0124840154;0.00854533147632702;0.00382158841426717
50;Asparagine;120min;L;Fe;5;0.0350139568;0.00632112083315109;0.00282689117538319
51;Asparagine;120min;L;P;5;0.0124608294;0.00242530686907931;0.00108463020511171
52;Asparagine;120min;U;C;5;0.0110122342;0.00717014173389426;0.00320658486505916
53;Asparagine;120min;U;Fe;5;0.0430229478;0.00719772655075821;0.00321892117019009
54;Asparagine;120min;U;P;5;0.0121303072;0.00491231444622468;0.00219685380572252
55;Asparagine;15min;L;C;5;0.0087617106;0.00169101935753329;0.000756246846942491
56;Asparagine;15min;L;Fe;4;0.104397851;0.119046463313692;0.0595232316568458
57;Asparagine;15min;L;P;5;0.0119412088;0.00485750763367997;0.00217234345402651
58;Asparagine;15min;U;C;5;0.0102017474;0.00469542047969581;0.0020998558751089
59;Asparagine;15min;U;Fe;5;0.0331097504;0.00678972177599998;0.00303645588788931
60;Asparagine;15min;U;P;5;0.0123146922;0.00442654315322145;0.00197961027918789
61;Asparagine;30min;L;C;5;0.0170523146;0.0122588551112051;0.00548232667099507
62;Asparagine;30min;L;Fe;5;0.0408524184;0.0107034832133789;0.00478674321222864
63;Asparagine;30min;L;P;5;0.0132616314;0.00278563872048886;0.00124577550795372
64;Asparagine;30min;U;C;5;0.0072334024;0.00137462362690822;0.000614750374648816
