Compound;Time;Labeling;Treatment;N;mean;sd;se
1;Alanine;120min;L;C;5;8468158.8;2158309.11334491;965225.178779304
2;Alanine;120min;L;Fe;5;4367119.8;1826527.02258212;816847.717046782
3;Alanine;120min;L;P;5;8829350.2;3597581.54776514;1608887.37908035
4;Alanine;120min;U;C;5;15799140.6;8445319.71371207;3776861.79431585
5;Alanine;120min;U;Fe;5;5438882.6;658561.957615455;294517.860924698
6;Alanine;120min;U;P;5;10541156.6;1972914.37262183;882314.130193754
7;Alanine;15min;L;C;5;15147010.4;7514046.04190185;3360383.54715115
8;Alanine;15min;L;Fe;4;7749181.75;1917750.49558319;958875.247791597
9;Alanine;15min;L;P;5;11978482;891883.331535016;398862.351462256
10;Alanine;15min;U;C;5;22029250;18351393.8118825;8206992.80904766
11;Alanine;15min;U;Fe;5;6865675.8;3455894.75683985;1545523.1198758
12;Alanine;15min;U;P;5;12846635.8;3413380.16803713;1526510.01775614
13;Alanine;30min;L;C;5;12544638.8;6889546.80878541;3081098.99972218
14;Alanine;30min;L;Fe;5;7758795;2797447.74888183;1251056.6660007
15;Alanine;30min;L;P;5;11025991.2;2100212.97736139;939243.796921459
16;Alanine;30min;U;C;5;16713785.2;6641820.73371114;2970312.53098913
17;Alanine;30min;U;Fe;5;6909753.6;2719254.44397813;1216087.5569707
18;Alanine;30min;U;P;5;12739911.2;2537196.43600908;1134668.7406373
19;Alanine;60min;L;C;5;9845931;1878043.20701229;839886.455112237
20;Alanine;60min;L;Fe;5;7096926.4;1404931.41790669;628304.430832904
21;Alanine;60min;L;P;5;12998756;1874196.1674622;838166.006723012
22;Alanine;60min;U;C;5;11482041.4;6548004.73933585;2928356.74282915
23;Alanine;60min;U;Fe;5;8622646.2;1622003.18145995;725381.874693075
24;Alanine;60min;U;P;5;9930126.6;916272.156810846;409769.36570388
25;Arginine;120min;L;C;5;1894726.4;530357.167374308;237182.935720637
26;Arginine;120min;L;Fe;5;511052.2;166860.24558504;74622.1703740919
27;Arginine;120min;L;P;5;17749226.6;8656682.33696015;3871386.03301293
28;Arginine;120min;U;C;5;2533923.8;1058706.61450456;473467.991652171
29;Arginine;120min;U;Fe;5;640638;129715.114103947;58010.3625691135
30;Arginine;120min;U;P;5;20074644;6845347.7300631;3061332.57080899
31;Arginine;15min;L;C;5;3051159.8;1361986.91442088;609099.065022054
32;Arginine;15min;L;Fe;4;1040287.5;273974.169447292;136987.084723646
33;Arginine;15min;L;P;5;23436732;2722074.6899323;1217348.80930405
34;Arginine;15min;U;C;5;2818234.4;530689.035897012;237331.351835909
35;Arginine;15min;U;Fe;5;803063;436370.839671947;195150.972181027
36;Arginine;15min;U;P;5;22959574;6192089.97079984;2769186.81950063
37;Arginine;30min;L;C;5;2195839.8;1080531.67628612;483228.456003514
38;Arginine;30min;L;Fe;5;954413.2;239692.554015973;107193.768896051
39;Arginine;30min;L;P;5;22071016;4207374.54399772;1881595.09743622
40;Arginine;30min;U;C;5;3415042.4;993926.205123549;444497.311854931
41;Arginine;30min;U;Fe;5;908672;451378.502571844;201862.603066541
42;Arginine;30min;U;P;5;21934188;4070869.05681944;1820547.98770974
43;Arginine;60min;L;C;5;2046409.4;971855.868961185;434627.157465867
44;Arginine;60min;L;Fe;5;965719;157563.130295447;70464.3740176552
45;Arginine;60min;L;P;5;22972242;4858028.37234613;2172576.33543772
46;Arginine;60min;U;C;5;1475375.2;501632.765075907;224336.992490182
47;Arginine;60min;U;Fe;5;981369.4;158862.707651292;71045.5626795932
48;Arginine;60min;U;P;5;17957174;2912383.2789281;1302457.39764339
