Sample;Time;Treatment;Labeling
A1;15;C;U
A1;15;C;U
A1;15;C;U
A1;15;C;U
A2;15;C;U
A2;15;C;U
A2;15;C;U
A2;15;C;U
A3;15;C;U
A3;15;C;U
A3;15;C;U
A3;15;C;U
A4;15;C;U
A4;15;C;U
A4;15;C;U
A4;15;C;U
A5;15;C;U
A5;15;C;U
A5;15;C;U
A5;15;C;U
A6;15;C;L
A6;15;C;L
A6;15;C;L
A6;15;C;L
A7;15;C;L
A7;15;C;L
A7;15;C;L
A7;15;C;L
A8;15;C;L
A8;15;C;L
A8;15;C;L
A8;15;C;L
A9;15;C;L
A9;15;C;L
A9;15;C;L
A9;15;C;L
A10;15;C;L
A10;15;C;L
A10;15;C;L
A10;15;C;L
A11;15;Fe;U
A11;15;Fe;U
A11;15;Fe;U
A11;15;Fe;U
A12;15;Fe;U
A12;15;Fe;U
A12;15;Fe;U
A12;15;Fe;U
A13;15;Fe;U
A13;15;Fe;U
A13;15;Fe;U
A13;15;Fe;U
A14;15;Fe;U
A14;15;Fe;U
A14;15;Fe;U
A14;15;Fe;U
A15;15;Fe;U
A15;15;Fe;U
A15;15;Fe;U
A15;15;Fe;U
A17;15;Fe;L
A17;15;Fe;L
A17;15;Fe;L
A17;15;Fe;L
A18;15;Fe;L
A18;15;Fe;L
A18;15;Fe;L
A18;15;Fe;L
A19;15;Fe;L
A19;15;Fe;L
A19;15;Fe;L
A19;15;Fe;L
A20;15;Fe;L
A20;15;Fe;L
A20;15;Fe;L
A20;15;Fe;L
A21;15;P;U
A21;15;P;U
A21;15;P;U
A21;15;P;U
A22;15;P;U
A22;15;P;U
A22;15;P;U
A22;15;P;U
A23;15;P;U
A23;15;P;U
A23;15;P;U
A23;15;P;U
A24;15;P;U
A24;15;P;U
A24;15;P;U
A24;15;P;U
A25;15;P;U
A25;15;P;U
A25;15;P;U
A25;15;P;U
A26;15;P;L
A26;15;P;L
A26;15;P;L
A26;15;P;L
A27;15;P;L
A27;15;P;L
A27;15;P;L
A27;15;P;L
A28;15;P;L
A28;15;P;L
A28;15;P;L
A28;15;P;L
A29;15;P;L
A29;15;P;L
A29;15;P;L
A29;15;P;L
A30;15;P;L
A30;15;P;L
A30;15;P;L
A30;15;P;L
A31;30;C;U
A31;30;C;U
A31;30;C;U
A31;30;C;U
A32;30;C;U
A32;30;C;U
A32;30;C;U
A32;30;C;U
A33;30;C;U
A33;30;C;U
A33;30;C;U
A33;30;C;U
A34;30;C;U
A34;30;C;U
A34;30;C;U
A34;30;C;U
A35;30;C;U
A35;30;C;U
A35;30;C;U
A35;30;C;U
A36;30;C;L
A36;30;C;L
A36;30;C;L
A36;30;C;L
A37;30;C;L
A37;30;C;L
A37;30;C;L
A37;30;C;L
A38;30;C;L
A38;30;C;L
A38;30;C;L
A38;30;C;L
A39;30;C;L
A39;30;C;L
A39;30;C;L
A39;30;C;L
A40;30;C;L
A40;30;C;L
A40;30;C;L
A40;30;C;L
A41;30;Fe;U
A41;30;Fe;U
A41;30;Fe;U
A41;30;Fe;U
A42;30;Fe;U
A42;30;Fe;U
A42;30;Fe;U
A42;30;Fe;U
A43;30;Fe;U
A43;30;Fe;U
A43;30;Fe;U
A43;30;Fe;U
A44;30;Fe;U
A44;30;Fe;U
A44;30;Fe;U
A44;30;Fe;U
A45;30;Fe;U
A45;30;Fe;U
A45;30;Fe;U
A45;30;Fe;U
A46;30;Fe;L
A46;30;Fe;L
A46;30;Fe;L
A46;30;Fe;L
A47;30;Fe;L
A47;30;Fe;L
A47;30;Fe;L
A47;30;Fe;L
A48;30;Fe;L
A48;30;Fe;L
A48;30;Fe;L
A48;30;Fe;L
A49;30;Fe;L
A49;30;Fe;L
A49;30;Fe;L
A49;30;Fe;L
A50;30;Fe;L
A50;30;Fe;L
A50;30;Fe;L
A50;30;Fe;L
A51;30;P;U
A51;30;P;U
A51;30;P;U
A51;30;P;U
A52;30;P;U
A52;30;P;U
A52;30;P;U
A52;30;P;U
A53;30;P;U
A53;30;P;U
A53;30;P;U
A53;30;P;U
A54;30;P;U
A54;30;P;U
A54;30;P;U
A54;30;P;U
A55;30;P;U
A55;30;P;U
A55;30;P;U
A55;30;P;U
A56;30;P;L
A56;30;P;L
A56;30;P;L
A56;30;P;L
A57;30;P;L
A57;30;P;L
A57;30;P;L
A57;30;P;L
A58;30;P;L
A58;30;P;L
A58;30;P;L
A58;30;P;L
A59;30;P;L
A59;30;P;L
A59;30;P;L
A59;30;P;L
A60;30;P;L
A60;30;P;L
A60;30;P;L
A60;30;P;L
A61;60;C;U
A61;60;C;U
A61;60;C;U
A61;60;C;U
A62;60;C;U
A62;60;C;U
A62;60;C;U
A62;60;C;U
A63;60;C;U
A63;60;C;U
A63;60;C;U
A63;60;C;U
A64;60;C;U
A64;60;C;U
A64;60;C;U
A64;60;C;U
A65;60;C;U
A65;60;C;U
A65;60;C;U
A65;60;C;U
A66;60;C;L
A66;60;C;L
A66;60;C;L
A66;60;C;L
A67;60;C;L
A67;60;C;L
A67;60;C;L
A67;60;C;L
A68;60;C;L
A68;60;C;L
A68;60;C;L
A68;60;C;L
A69;60;C;L
A69;60;C;L
A69;60;C;L
A69;60;C;L
A70;60;C;L
A70;60;C;L
