Sample;Time;Treatment;Labeling
O1;15;C;U
O1;15;C;U
O1;15;C;U
O1;15;C;U
O2;15;C;U
O2;15;C;U
O2;15;C;U
O2;15;C;U
O3;15;C;U
O3;15;C;U
O3;15;C;U
O3;15;C;U
O4;15;C;U
O4;15;C;U
O4;15;C;U
O4;15;C;U
O5;15;C;U
O5;15;C;U
O5;15;C;U
O5;15;C;U
O6;15;C;L
O6;15;C;L
O6;15;C;L
O6;15;C;L
O7;15;C;L
O7;15;C;L
O7;15;C;L
O7;15;C;L
O8;15;C;L
O8;15;C;L
O8;15;C;L
O8;15;C;L
O9;15;C;L
O9;15;C;L
O9;15;C;L
O9;15;C;L
O10;15;C;L
O10;15;C;L
O10;15;C;L
O10;15;C;L
O11;15;Fe;U
O11;15;Fe;U
O11;15;Fe;U
O11;15;Fe;U
O12;15;Fe;U
O12;15;Fe;U
O12;15;Fe;U
O12;15;Fe;U
O13;15;Fe;U
O13;15;Fe;U
O13;15;Fe;U
O13;15;Fe;U
O14;15;Fe;U
O14;15;Fe;U
O14;15;Fe;U
O14;15;Fe;U
O15;15;Fe;U
O15;15;Fe;U
O15;15;Fe;U
O15;15;Fe;U
O17;15;Fe;L
O17;15;Fe;L
O17;15;Fe;L
O17;15;Fe;L
O18;15;Fe;L
O18;15;Fe;L
O18;15;Fe;L
O18;15;Fe;L
O19;15;Fe;L
O19;15;Fe;L
O19;15;Fe;L
O19;15;Fe;L
O20;15;Fe;L
O20;15;Fe;L
O20;15;Fe;L
O20;15;Fe;L
O21;15;P;U
O21;15;P;U
O21;15;P;U
O21;15;P;U
O22;15;P;U
O22;15;P;U
O22;15;P;U
O22;15;P;U
O24;15;P;U
O24;15;P;U
O24;15;P;U
O24;15;P;U
O25;15;P;U
O25;15;P;U
O25;15;P;U
O25;15;P;U
O26;15;P;L
O26;15;P;L
O26;15;P;L
O26;15;P;L
O27;15;P;L
O27;15;P;L
O27;15;P;L
O27;15;P;L
O28;15;P;L
O28;15;P;L
O28;15;P;L
O28;15;P;L
O29;15;P;L
O29;15;P;L
O29;15;P;L
O29;15;P;L
O30;15;P;L
O30;15;P;L
O30;15;P;L
O30;15;P;L
O31;30;C;U
O31;30;C;U
O31;30;C;U
O31;30;C;U
O32;30;C;U
O32;30;C;U
O32;30;C;U
O32;30;C;U
O33;30;C;U
O33;30;C;U
O33;30;C;U
O33;30;C;U
O34;30;C;U
O34;30;C;U
O34;30;C;U
O34;30;C;U
O35;30;C;U
O35;30;C;U
O35;30;C;U
O35;30;C;U
O36;30;C;L
O36;30;C;L
O36;30;C;L
O36;30;C;L
O37;30;C;L
O37;30;C;L
O37;30;C;L
O37;30;C;L
O38;30;C;L
O38;30;C;L
O38;30;C;L
O38;30;C;L
O39;30;C;L
O39;30;C;L
O39;30;C;L
O39;30;C;L
O41;30;Fe;U
O41;30;Fe;U
O41;30;Fe;U
O41;30;Fe;U
O42;30;Fe;U
O42;30;Fe;U
O42;30;Fe;U
O42;30;Fe;U
O43;30;Fe;U
O43;30;Fe;U
O43;30;Fe;U
O43;30;Fe;U
O44;30;Fe;U
O44;30;Fe;U
O44;30;Fe;U
O44;30;Fe;U
O45;30;Fe;U
O45;30;Fe;U
O45;30;Fe;U
O45;30;Fe;U
O46;30;Fe;L
O46;30;Fe;L
O46;30;Fe;L
O46;30;Fe;L
O47;30;Fe;L
O47;30;Fe;L
O47;30;Fe;L
O47;30;Fe;L
O48;30;Fe;L
O48;30;Fe;L
O48;30;Fe;L
O48;30;Fe;L
O49;30;Fe;L
O49;30;Fe;L
O49;30;Fe;L
O49;30;Fe;L
O50;30;Fe;L
O50;30;Fe;L
