Compound;Time;Labeling;Treatment;N;mean;sd;se
1;Alanine;120min;L;C;5;0.9590595584;0.00793592932042829;0.00354905548502227
2;Alanine;120min;L;Fe;5;0.945347026;0.0016728139676599;0.000748105149079735
3;Alanine;120min;L;P;5;0.9524346032;0.00888457568353775;0.00397330303592641
4;Alanine;120min;U;C;5;0.9665903778;0.00795740932419152;0.00355866163473658
5;Alanine;120min;U;Fe;5;0.9481029384;0.0052247196236978;0.00233656564839308
6;Alanine;120min;U;P;5;0.9669350404;0.00754773708936769;0.00337545064162451
7;Alanine;15min;L;C;5;0.9642109626;0.00862181755659354;0.00385579402922886
8;Alanine;15min;L;Fe;4;0.95686926175;0.00869855399896174;0.00434927699948087
9;Alanine;15min;L;P;5;0.969989248;0.0035191465708427;0.00157381019103791
10;Alanine;15min;U;C;5;0.967977715;0.00818034515688272;0.00365836157004019
11;Alanine;15min;U;Fe;5;0.9554981568;0.0087331173007451;0.0039055687879891
12;Alanine;15min;U;P;5;0.9697911388;0.00855574251760352;0.00382624437346933
13;Alanine;30min;L;C;5;0.9600760336;0.00434223870687352;0.00194190818462
14;Alanine;30min;L;Fe;5;0.9509980466;0.00971930436258752;0.00434660504975119
15;Alanine;30min;L;P;5;0.9647049942;0.00907733795026499;0.00405950894230622
16;Alanine;30min;U;C;5;0.9725428362;0.00767550260790616;0.00343258911855102
17;Alanine;30min;U;Fe;5;0.9576040144;0.00578901253882711;0.00258892511188321
18;Alanine;30min;U;P;5;0.9696225576;0.00779296528045378;0.00348512002267807
19;Alanine;60min;L;C;5;0.9573001866;0.00893952147098857;0.00399787553908987
20;Alanine;60min;L;Fe;5;0.952006434;0.0068160315507298;0.00304822197684303
21;Alanine;60min;L;P;5;0.9647565966;0.00378920131774912;0.00169458234538376
22;Alanine;60min;U;C;5;0.9656813828;0.0102842618981561;0.0045992617405376
23;Alanine;60min;U;Fe;5;0.9616986384;0.00687154120002417;0.0030730466466889
24;Alanine;60min;U;P;5;0.9651342406;0.00433291715435118;0.00193773945960084
25;Arginine;120min;L;C;5;0.9502645156;0.00327427814477175;0.00146430170179031
26;Arginine;120min;L;Fe;5;0.958184585;0.0141910869994909;0.00634644704109502
27;Arginine;120min;L;P;5;0.9876863744;0.0128572080494943;0.00574991823990536
28;Arginine;120min;U;C;5;0.949317546;0.00691268899699281;0.00309144850091815
29;Arginine;120min;U;Fe;5;0.9701572886;0.00579225643250905;0.00259037582524013
30;Arginine;120min;U;P;5;0.9928705808;0.000973502715169379;0.000435363649479869
31;Arginine;15min;L;C;5;0.9558740884;0.00677519411233638;0.0030299589191881
32;Arginine;15min;L;Fe;4;0.96581424825;0.0136835166513411;0.00684175832567055
33;Arginine;15min;L;P;5;0.9935680886;0.000386796136948528;0.000172980491130245
34;Arginine;15min;U;C;5;0.9539693972;0.00336499906699985;0.00150487333160701
35;Arginine;15min;U;Fe;5;0.9677121702;0.00851850551345043;0.00380959147895638
36;Arginine;15min;U;P;5;0.9934296108;0.000625409917972784;0.000279691818077943
37;Arginine;30min;L;C;5;0.951357576;0.00880981378004765;0.00393986849626018
38;Arginine;30min;L;Fe;5;0.9664028622;0.00905939588742709;0.0040514850078738
39;Arginine;30min;L;P;5;0.9937129498;0.00107096010730662;0.000478947920225613
40;Arginine;30min;U;C;5;0.951901534;0.00331958533481267;0.0014845636931505
41;Arginine;30min;U;Fe;5;0.9589920998;0.024537522270032;0.0109735135590413
42;Arginine;30min;U;P;5;0.9941088142;0.000861516286244886;0.000385281795953347
43;Arginine;60min;L;C;5;0.9524908228;0.0141092361501183;0.00630984222845237
44;Arginine;60min;L;Fe;5;0.9724179622;0.00813190888913753;0.00363670021258926
45;Arginine;60min;L;P;5;0.9929765646;0.000644403765842716;0.000288186125076234
46;Arginine;60min;U;C;5;0.961954343;0.0160143839206314;0.0071618502128623
47;Arginine;60min;U;Fe;5;0.9665741244;0.00713513470363835;0.00319092924519063
48;Arginine;60min;U;P;5;0.9939437642;0.000512371769490878;0.000229139621266691
49;Asparagine;120min;L;C;5;0.9875159848;0.00854533157841577;0.00382158845992265
50;Asparagine;120min;L;Fe;5;0.9649860432;0.00632112083315109;0.00282689117538319
51;Asparagine;120min;L;P;5;0.9875391706;0.00242530686907929;0.00108463020511169
52;Asparagine;120min;U;C;5;0.988987766;0.00717014129505393;0.00320658466880379
53;Asparagine;120min;U;Fe;5;0.9569770524;0.00719772620357455;0.00321892101492484
54;Asparagine;120min;U;P;5;0.9878696928;0.0049123144462247;0.00219685380572253
55;Asparagine;15min;L;C;5;0.9912382896;0.00169101900999449;0.000756246691518416
56;Asparagine;15min;L;Fe;4;0.89560214925;0.119046463461004;0.0595232317305019
57;Asparagine;15min;L;P;5;0.9880587912;0.00485750763367999;0.00217234345402652
58;Asparagine;15min;U;C;5;0.9897982526;0.00469542047969582;0.00209985587510891
59;Asparagine;15min;U;Fe;5;0.9668902498;0.00678972142582577;0.00303645573128664
60;Asparagine;15min;U;P;5;0.987685308;0.00442654279330368;0.00197961011822777
61;Asparagine;30min;L;C;5;0.9829476854;0.0122588551112051;0.00548232667099507
62;Asparagine;30min;L;Fe;5;0.959147582;0.0107034833719441;0.00478674328314112
63;Asparagine;30min;L;P;5;0.9867383686;0.00278563872048885;0.00124577550795372
64;Asparagine;30min;U;C;5;0.9927665976;0.00137462362690821;0.000614750374648815
65;Asparagine;30min;U;Fe;5;0.9591174638;0.00833853003347609;0.00372910399745523
66;Asparagine;30min;U;P;5;0.9868852538;0.00190882708366437;0.000853653423273242
67;Asparagine;60min;L;C;5;0.985685823;0.00884840805389976;0.0039571283802353
68;Asparagine;60min;L;Fe;5;0.9588374744;0.00713795523644695;0.00319219062580919
69;Asparagine;60min;L;P;5;0.9860579586;0.00473378560235731;0.00211701327955615
70;Asparagine;60min;U;C;5;0.982930867;0.0106795302550616;0.00477603112361668
71;Asparagine;60min;U;Fe;5;0.9677734134;0.00891720599538384;0.00398789575500939
72;Asparagine;60min;U;P;5;0.9862562778;0.00334959645008292;0.00149798507191548
73;Aspartic acid;120min;L;C;5;0.9742851422;0.00395923476544342;0.00177062361488239
74;Aspartic acid;120min;L;Fe;5;0.9627697062;0.0122335134771446;0.00547099354771104
75;Aspartic acid;120min;L;P;5;0.9739730592;0.0200304387844527;0.0089578845482369
76;Aspartic acid;120min;U;C;5;0.9796223042;0.0171655116933407;0.00767665020297547
77;Aspartic acid;120min;U;Fe;5;0.9877712478;0.00342678572712851;0.00153250516603708
78;Aspartic acid;120min;U;P;5;0.9812559274;0.00607726197277502;0.00271783417763989
79;Aspartic acid;15min;L;C;5;0.981566607;0.00525090309468576;0.00234827525259628
80;Aspartic acid;15min;L;Fe;4;0.98347781925;0.00340163761342451;0.00170081880671226
81;Aspartic acid;15min;L;P;5;0.985996648;0.0043049680602092;0.00192524024471864
82;Aspartic acid;15min;U;C;5;0.9843191268;0.00643476457701934;0.00287771420268458
83;Aspartic acid;15min;U;Fe;5;0.9737843954;0.0159327941219486;0.00712536214563723
84;Aspartic acid;15min;U;P;5;0.9846140184;0.00220490153733674;0.000986061944235749
85;Aspartic acid;30min;L;C;5;0.9771766918;0.00839180466518682;0.00375292913705152
86;Aspartic acid;30min;L;Fe;5;0.9773884286;0.00396221771705295;0.00177195763139688
87;Aspartic acid;30min;L;P;5;0.9803302974;0.00481690453854873;0.00215418519786444
88;Aspartic acid;30min;U;C;5;0.9867444006;0.00340283256145103;0.00152179298469085
89;Aspartic acid;30min;U;Fe;5;0.9786524228;0.0149694471419937;0.00669454027901759
90;Aspartic acid;30min;U;P;5;0.9842418054;0.00335191316007342;0.00149902113612006
91;Aspartic acid;60min;L;C;5;0.974206415;0.00660210871744095;0.00295255277740838
92;Aspartic acid;60min;L;Fe;5;0.9817159702;0.00273288206928917;0.00122218201628417
93;Aspartic acid;60min;L;P;5;0.9819549186;0.0030606812475671;0.00136877826540378
94;Aspartic acid;60min;U;C;5;0.9854420166;0.003568513174278;0.00159588760725783
